year,n_bars,year_cum_return,ret_mean,ret_std,pos_bar_frac,neg_bar_frac,implied_directional_bias
2020,231,1.1461,0.004527,0.049627,0.4892,0.5065,BULL
2021,1095,1.8686,0.001993,0.045413,0.4913,0.5078,BULL
2022,1095,-0.7955,-0.000806,0.03585,0.4721,0.5251,BEAR
2023,1095,1.0947,0.000981,0.024965,0.5233,0.4749,BULL
2024,1098,1.8378,0.001369,0.029087,0.51,0.4882,BULL
2025,246,-0.4007,-0.00143,0.036202,0.4634,0.5366,BEAR
