anchor,rolling_90_corr_mean,rolling_90_corr_median,rolling_90_corr_p25,rolling_90_corr_p75,full_window_corr,n_overlap
BTCUSDT,0.6493,0.695,0.529,0.7845,0.6348,4859
ETHUSDT,0.7448,0.7782,0.6647,0.8467,0.7504,4859
DOTUSDT,0.7029,0.7232,0.6103,0.8204,0.679,4859
LTCUSDT,0.6391,0.6391,0.5336,0.7548,0.6374,4844
LINKUSDT,0.702,0.7212,0.6115,0.8092,0.7078,4859
