symbol,first_open_time_utc,last_open_time_utc,total_8h_candles,is_candles_2023_03_to_2025_03,years_total
AAVEUSDT,2020-10-16 00:00:00,2026-06-06 00:00:00,6178,2160,5.64
BTCUSDT,2020-01-01 00:00:00,2026-06-01 00:00:00,7030,2160,6.41
ETHUSDT,2020-01-01 00:00:00,2026-06-01 00:00:00,7030,2160,6.41
DOTUSDT,2020-08-22 00:00:00,2026-05-27 00:00:00,6313,2160,5.76
LTCUSDT,2020-01-09 08:00:00,2026-06-01 08:00:00,6991,2160,6.39
LINKUSDT,2020-01-17 08:00:00,2026-05-27 00:00:00,6966,2160,6.36
