feature_name,mean_gain,importance_rank
stat_autocorr_lag5,8292.4057,1
trend_aroon_osc_50,7970.7583,2
vol_atr_14,7332.442,3
stat_kurtosis_20,5243.077,4
interact_natr_x_adx,5102.9957,5
stat_skew_20,4271.8889,6
oi_delta_30_z90,4121.1041,7
mom_macd_line_12_26_9,3526.1738,8
trend_adx_14,3428.7245,9
vol_natr_14,2809.0442,10
vol_bb_bandwidth_20,2753.7318,11
trend_plus_di_14,2453.4728,12
mr_pct_from_low_20,2079.8014,13
mom_macd_hist_12_26_9,1986.3178,14
interact_rsi_x_adx,1912.7075,15
trend_minus_di_14,1863.644,16
funding_rate_zscore_90,1861.2876,17
trend_aroon_osc_14,1451.6909,18
funding_rate_zscore_30,1411.5857,19
vol_cmf_14,1348.6616,20
vol_mfi_14,1038.5063,21
mr_pct_from_high_20,979.5005,22
trend_ema_cross_5_12,790.592,23
mom_stoch_d_14,756.2317,24
mom_rsi_14,701.7167,25
interact_stoch_x_adx,676.6983,26
interact_rsi_x_natr,642.5347,27
mom_stoch_k_14,504.7479,28
cal_dow_norm,454.8589,29
mom_willr_14,435.7738,30
vol_range_spike_72,366.6285,31
vol_volume_rel_20,353.3606,32
mom_roc_10,322.0793,33
stat_return_5,304.5977,34
trend_supertrend_14_3,257.4065,35
vol_range_spike_24,215.2243,36
vol_volume_pctchg_5,214.3933,37
vol_taker_buy_ratio,152.6872,38
interact_ret1_x_natr,123.9266,39
interact_ret1_x_ret3,123.677,40
stat_log_return_1,90.7443,41
cal_hour_norm,6.7109,42
mr_rsi_extreme_14,1.4443,43
