date,pnl_pct,trade_count
2022-01-05,9.0109,1
2022-01-07,-3.7432,1
2022-01-14,14.5091,1
2022-01-16,-3.5930,1
2022-01-21,-5.5628,1
2022-02-01,-0.0481,1
2022-02-15,-1.3970,1
2022-03-08,10.5958,1
2022-03-16,0.0474,1
2022-03-18,-3.2434,1
2022-03-22,-2.9038,1
2022-03-24,-1.0946,1
2022-04-11,-1.2998,1
2022-04-20,2.7984,1
2022-04-21,-0.9231,1
2022-04-30,-1.1225,1
2022-05-04,-1.0627,1
2022-05-22,1.3752,1
2022-05-26,-1.5105,1
2022-06-03,0.6783,1
2022-06-06,-1.2149,1
2022-06-07,-1.2229,1
2022-06-11,3.9694,1
2022-06-19,-2.4368,1
2022-06-23,-2.2501,1
2022-06-25,-1.8011,1
2022-07-07,-1.5615,1
2022-07-16,-1.2967,1
2022-07-28,-1.0895,1
2022-08-11,1.3007,1
2022-08-19,9.6111,1
2022-08-22,-1.4050,1
2022-09-13,-3.7574,1
2022-09-23,4.8547,1
2022-10-02,-3.1547,1
2022-10-11,4.9485,1
2022-10-21,-2.4480,1
2022-10-23,-0.6197,1
2022-10-25,-0.6392,1
2022-12-08,-1.4243,1
2022-12-13,-3.4829,1
2022-12-14,-2.8668,1
2022-12-16,10.6459,1
2022-12-25,-4.0258,1
2022-12-30,-0.9247,1
2023-01-29,-1.0393,1
2023-02-07,-2.9036,1
2023-02-13,9.7427,1
2023-02-15,-3.0181,1
2023-02-20,-3.6526,1
2023-02-22,-1.1135,1
2023-03-29,-4.4762,1
2023-04-08,2.5803,1
2023-04-10,-2.2553,1
2023-04-14,-2.3774,1
2023-04-16,-2.6605,1
2023-04-26,-1.0158,1
2023-05-04,0.5110,1
2023-05-08,3.1590,1
2023-05-16,4.0441,1
2023-05-24,2.6308,1
2023-06-10,3.0342,1
2023-06-14,-1.3168,1
2023-06-21,4.2551,1
2023-07-13,-5.1835,1
2023-07-17,11.4158,1
2023-08-01,-1.8713,1
2023-08-10,3.8209,1
2023-08-13,-1.9300,1
2023-08-15,-0.5318,1
2023-08-25,-1.1076,1
2023-09-06,-0.7789,1
2023-11-04,3.6159,1
2023-11-21,-3.3306,1
2023-12-04,-1.7743,1
2023-12-05,-2.3034,1
2023-12-24,0.1197,1
2023-12-26,-2.3742,1
2023-12-29,-0.8845,1
2024-01-03,-0.9498,1
2024-01-14,-1.4346,1
2024-01-18,-1.1603,1
2024-01-23,3.6292,1
2024-01-31,1.4239,1
2024-02-04,-0.6207,1
2024-02-09,1.8212,1
2024-04-01,-4.2156,1
2024-04-12,13.7549,1
2024-04-19,-5.0138,1
2024-04-26,-4.1803,1
2024-05-06,-1.1925,1
2024-05-14,0.8857,1
2024-05-20,2.6343,1
2024-05-22,-0.7711,1
2024-05-23,-0.8309,1
2024-05-28,-0.9230,1
2024-06-14,-0.8184,1
2024-06-17,-0.6580,1
2024-06-24,-1.0070,1
2024-08-16,7.8017,1
2024-10-09,-1.9708,1
2024-10-13,-1.7015,1
2024-10-15,-1.7763,1
2024-10-31,7.2635,1
2025-02-19,-4.9956,1
2025-03-13,-5.7210,1
2025-03-18,-4.5321,1
