derate_scalar,is_monthly_sharpe,oos_monthly_sharpe,is_delta,oos_delta,oos_is_ratio
1.0,0.8325,0.1403,0.0,0.0,0.1685
0.25,1.0434,-0.088,0.2109,-0.2283,-0.0844
0.35,1.0157,-0.0527,0.1832,-0.193,-0.0519
0.5,0.9738,-0.0023,0.1413,-0.1426,-0.0024
0.65,0.9315,0.0446,0.099,-0.0956,0.0479
0.75,0.9032,0.0739,0.0708,-0.0663,0.0818
