split,full_roster_n,full_mean_dur,full_median_dur,post_scalar_roster_n,post_scalar_mean_dur,post_scalar_median_dur,mean_dur_delta,median_dur_delta,derated_subset_n,derated_subset_mean_dur,derated_subset_median_dur
IS,159,6.3145,4.0,159,6.3145,4.0,0.0,0.0,51,6.7451,4.0
OOS,102,6.4608,4.5,102,6.4608,4.5,0.0,0.0,51,6.7843,5.0
