split,symbol,n_total_trades,n_weight_changed,pct_weight_changed
IS,BCHUSDT,73,27,37.0
IS,LDOUSDT,11,1,9.1
IS,TRXUSDT,75,23,30.7
IS,PORTFOLIO,159,51,32.1
OOS,BCHUSDT,37,19,51.4
OOS,LDOUSDT,11,2,18.2
OOS,TRXUSDT,54,30,55.6
OOS,PORTFOLIO,102,51,50.0
