derate_scalar,is_monthly_sharpe,is_delta
1.0,0.8325,0.0
0.25,0.7501,-0.0823
0.35,0.7765,-0.056
0.5,0.8051,-0.0274
0.65,0.8225,-0.01
0.75,0.829,-0.0035
