symbol,n_bearchop_entry,n_bull_entry,bearchop_entry_wpnl,bull_entry_wpnl,bearchop_entry_wr,bull_entry_wr,bearchop_is_genuine_drag
BCHUSDT,27,46,35.6641,42.6797,48.1,37.0,False
LDOUSDT,1,10,-3.641,1.977,0.0,30.0,True
TRXUSDT,23,52,-10.4875,-14.3016,17.4,25.0,True
