feature_name,mean_gain,importance_rank
trend_aroon_osc_50,6076.1234,1
stat_autocorr_lag5,4886.0614,2
vol_atr_14,4779.1032,3
interact_natr_x_adx,4066.1863,4
oi_delta_30_z90,3352.7319,5
stat_skew_20,2739.8826,6
stat_kurtosis_20,2612.1752,7
trend_adx_14,2190.4746,8
long_short_zscore_30,1859.4915,9
trend_plus_di_14,1581.656,10
mom_macd_line_12_26_9,1548.1962,11
vol_bb_bandwidth_20,1508.5978,12
btc_funding_spread_30_90,1493.2559,13
vol_natr_14,1491.1209,14
ltc_vs_btc_ret_ratio_30,1181.9583,15
mr_pct_from_low_20,981.9618,16
vol_cmf_14,936.3364,17
mr_pct_from_high_20,849.0155,18
trend_minus_di_14,804.9862,19
funding_rate_zscore_90,721.3238,20
mom_macd_hist_12_26_9,715.8185,21
trend_supertrend_14_3,587.5745,22
interact_rsi_x_adx,579.5784,23
funding_rate_zscore_30,474.3986,24
vol_mfi_14,461.3358,25
trend_aroon_osc_14,460.4166,26
mom_willr_14,339.5677,27
mom_rsi_14,290.599,28
trend_ema_cross_5_12,285.5346,29
mom_stoch_d_14,279.229,30
mom_stoch_k_14,267.8793,31
interact_stoch_x_adx,229.3102,32
regime_momentum_signed_5d,215.6309,33
interact_rsi_x_natr,175.1403,34
vol_range_spike_72,168.0387,35
mom_roc_10,114.45,36
vol_volume_rel_20,101.7222,37
cal_dow_norm,96.5923,38
stat_return_5,95.8415,39
vol_volume_pctchg_5,56.5209,40
vol_taker_buy_ratio,49.4859,41
vol_range_spike_24,45.7951,42
interact_ret1_x_ret3,42.2515,43
interact_ret1_x_natr,37.6154,44
stat_log_return_1,35.1514,45
mr_rsi_extreme_14,1.923,46
cal_hour_norm,0.6776,47
dot_vs_btc_ret_ratio_30,0.0,48
eth_vs_btc_ret_ratio_30,0.0,49
