symbol,n_main,n_baseline,n_intersection,n_union,jaccard
BTCUSDT,55,36,6,85,0.07058823529411765
DOTUSDT,49,47,16,80,0.2
ETHUSDT,65,47,11,101,0.10891089108910891
LINKUSDT,56,28,2,82,0.024390243902439025
LTCUSDT,40,35,5,70,0.07142857142857142
ALL,265,193,40,418,0.09569377990430622
