sharpe1,sharpe2,sharpe3,ann1,ann2,vol,dd1,dd2,turn,edge_bps,cost_share,trades,long_gross,short_gross,req_min_scale,f1,f2,f3,f4,worst_fold,median_fold,pos_folds,calmar2,pq2,G,kinds,weights,w,purge,k,hold,cadence,phase
0.7963157432500682,0.32716380690329777,-0.14166618296935501,0.09017337444685336,0.03195056839593513,0.11702122720755818,0.12828626442806956,0.1700601882810373,73.19148673672302,20.142384566793496,0.04071371516769316,63211,59335.79044026167,-2042.855119387552,1.0,-0.15130402979269336,1.5006288716153244,-0.9623483093330188,0.9445929657568798,-0.9623483093330188,0.3966444679820932,2,0.18787800201146668,0.5294117647058824,10.408725042557668,per,1.0,21,ret+size+liq,4,9,1,0
0.7621183928906307,0.28405101060247384,-0.19382122960871848,0.08434130995695366,0.026390284963492938,0.11490926319924002,0.11655539719543695,0.15961833819775495,73.23855965954493,19.37981254378214,0.04099045116105377,72500,65607.24785531682,-10600.466875057125,1.0,0.15913497556521708,1.0372927613360698,-0.6559562503639517,0.5238622983960638,-0.6559562503639517,0.3414986369806404,3,0.16533366567691857,0.5294117647058824,10.104972863611096,per,1.0,21,ret+size+liq,5,9,1,0
0.5488064485952592,0.06594613193532654,-0.4167806996950799,0.057357647353829755,0.0010594555872920353,0.11331827420232933,0.12846510465691785,0.17304362564972486,72.94658612144575,15.952572687314944,0.041390499719748265,79339,68443.84532239941,-26858.95716332381,1.0,0.059122680059304905,0.7665269030633755,-0.8186419414398894,0.17692046929475316,-0.8186419414398894,0.11802157467702903,3,0.006122476822327952,0.47058823529411764,3.6554080149266324,per,1.0,21,ret+size+liq,6,9,1,0
0.5546346603812298,0.24779970075429927,-0.058947800151963124,0.059644096037601235,0.022358579888914543,0.1167589611391435,0.11878365639159716,0.14232782172960212,47.75856012091107,20.92809109138319,0.027242729948397555,76226,59070.587745247125,-25327.025263470714,1.0,-0.5133664700684446,1.2548986614214286,-0.7388583629153529,1.1616561303041542,-0.7388583629153529,0.3241448301178548,2,0.1570921244856253,0.5294117647058824,11.865191464444255,per,1.0,21,ret+size+liq,4,21,1,0
0.5532741118432112,0.23420634216239156,-0.08483734325451948,0.05839200252490229,0.0204544022945905,0.11441442422545123,0.10601722197968144,0.1265454657284809,48.67287259777835,20.398625044438255,0.027945095954337175,81876,64646.4848926385,-30881.615509606265,1.0,-0.4220117821328501,0.9732065276974095,-0.4206622646281075,0.8970214111370947,-0.4220117821328501,0.23817957325449357,2,0.16163678545763127,0.5294117647058824,12.037756737837682,per,1.0,21,ret+size+liq,5,21,1,0
0.507622194342054,0.18549425891225163,-0.13667973649885676,0.05265379866253839,0.014743877726636878,0.11386707717310154,0.1122741274021054,0.13354258412529296,48.90473166037994,19.204004528795505,0.028157248053388328,84602,68909.01285208265,-37735.17173543538,1.0,-0.3767081030467374,0.9082871440163887,-0.4029554129510844,0.6963339731182806,-0.4029554129510844,0.1598129350357716,2,0.1104058141693874,0.47058823529411764,9.965046924988147,per,1.0,21,ret+size+liq,6,21,1,0
0.21016788386632462,0.008161975046634951,-0.19378632710495192,0.017899091507714404,-0.005888611169883595,0.11705136537870998,0.18104540723634976,0.193630953267514,31.525415917834927,15.053506121154454,0.018531646386084212,82764,41569.13587425971,-30891.125834870763,0.8619047619047618,-1.0879016673046094,0.8641008687204815,-0.6314677247277272,1.2013533003535877,-1.0879016673046094,0.11631657199637718,2,-0.030411517737807592,0.4117647058823529,0.8492062309981341,per,1.0,21,ret+size+liq,4,42,1,0
0.27519199759455876,0.06625036979749838,-0.1426692633174013,0.02538089312746883,0.0009921275044966205,0.11521189716024494,0.166053295110976,0.17917982608140692,32.09652993873613,17.159634403185,0.01877587747457042,85120,49734.86346391152,-35329.13031581922,1.0,-0.9496732034053915,0.8335046400252685,-0.40685947017726687,0.9932639941953931,-0.9496732034053915,0.2133225849240008,2,0.005537049154439219,0.35294117647058826,2.831393680690138,per,1.0,21,ret+size+liq,5,42,1,0
0.425376700937559,0.21540522988795566,0.005385278447801495,0.04316419466492416,0.01830767548731793,0.11485531479711215,0.15430247725557222,0.16774143167838385,32.15522110073698,22.463907624618646,0.01869996838226697,85841,59505.36572693079,-37443.69218337174,1.0,-0.7215842235195409,1.018530339255159,-0.3591450030266171,1.0931816599174198,-0.7215842235195409,0.32969266811427095,2,0.10914223936290134,0.4117647058823529,7.517702652891728,per,1.0,21,ret+size+liq,6,42,1,0
0.4105004902376003,0.2464467727209211,0.08242762242351187,0.042357508595525895,0.022367916409942845,0.1180477975317155,0.20341249872759548,0.21379165503750808,25.814451583811206,25.924163116371773,0.015074572487614523,84405,46465.592501237654,-25327.13647650749,0.9220338983050845,-0.99638236207014,1.0515386391125046,-0.3123358816596305,1.6108427154808873,-0.99638236207014,0.36960137872643706,2,0.10462483395817564,0.5882352941176471,6.117971380129882,per,1.0,21,ret+size+liq,4,63,1,0
0.4659133600740087,0.29983708897354716,0.1337562273021715,0.04905436042723221,0.028759209140813757,0.11764157102931687,0.1977181759774128,0.2083390730946283,26.045593821927135,28.20585483782119,0.015168183556814955,85592,54083.78506711715,-29644.142074910087,1.0,-0.9114390039081511,1.093824970743602,-0.03897441022818635,1.35769303947041,-0.9114390039081511,0.5274252802577079,2,0.13804040074494922,0.5882352941176471,10.660764422164839,per,1.0,21,ret+size+liq,5,63,1,0
0.5743424280893078,0.40902886465615224,0.2436690566910104,0.06260839415113906,0.04210956989458414,0.11781874516341559,0.19139907580879867,0.20212612503915983,25.973243473375152,33.18735153139088,0.015074438902786091,86011,62229.41866248663,-31717.822130884204,1.0,-0.7592926136771792,1.2110808530560688,0.07994234059978282,1.377438543567885,-0.7592926136771792,0.6455115968279258,3,0.20833313796732536,0.5294117647058824,13.257758275476764,per,1.0,21,ret+size+liq,6,63,1,0
0.511521368794783,0.3707757473503385,0.23006844811138608,0.05443832871327858,0.03721745006776045,0.1170390366561884,0.22672888496298238,0.23560504223855128,21.952140370713753,34.40366556445789,0.012852743596883754,85129,52435.63384045456,-26494.721143627325,0.9617977528089888,-1.2503301360550116,1.1163601992861665,-0.0323570165251431,2.1799514225178376,-1.2503301360550116,0.5420015913805117,2,0.15796542261636998,0.5882352941176471,11.248716270820484,per,1.0,21,ret+size+liq,4,90,1,0
0.573259043576065,0.4312443051811597,0.2892407239778676,0.061884566476954284,0.044446733584892595,0.11662054323332988,0.21236520934627523,0.2215467853024906,22.074545061581272,37.42439419914427,0.012850582341973978,85860,61078.81737249241,-31517.915728211403,1.0,-1.0547974168688048,1.0555166148054986,0.17849644324887531,1.9934906707119107,-1.0547974168688048,0.617006529027187,3,0.20062007906910906,0.5882352941176471,13.675394505925881,per,1.0,21,ret+size+liq,5,90,1,0
0.7021775221889904,0.5604515209700605,0.4186904146335688,0.07796621418808836,0.060293922790620735,0.11661552633136701,0.1977275158304217,0.20710029040711275,22.039980869970012,44.276398907983065,0.012700170832333532,86104,67766.63050290034,-30556.59411074497,1.0,-0.8372699063716788,1.1611792063079165,0.34883498178966393,1.978029398944121,-0.8372699063716788,0.7550070940487902,3,0.2911339364715346,0.5882352941176471,18.26054814719289,per,1.0,21,ret+size+liq,6,90,1,0
0.21359257613422106,-0.12077077388464792,-0.4552887009614576,0.018521052565447116,-0.021277242309551636,0.11922798073475081,0.19355232818588475,0.23993306092088618,53.14271787389143,12.170576463342371,0.030650359400924653,56528,42738.212439991185,-26518.79225272137,1.0,-0.7227266945183886,0.7738329301278971,-1.0374100117223437,0.7573567199979306,-1.0374100117223437,0.01731501273977104,2,-0.08867991025449987,0.29411764705882354,0.0,per,1.0,42,ret+size+liq,4,9,1,0
0.46942636954476147,0.13215465691458306,-0.20529675957829058,0.04893487937090146,0.008638372146815065,0.11615373909274608,0.18673661075617576,0.20553864773613573,52.229863394883914,17.823689935272448,0.029889088435678605,66154,62238.10475221021,-31925.479437603975,1.0,-0.5221003683420912,0.9402900274016603,-0.6242789243678935,0.9276445887918755,-0.6242789243678935,0.20277211022489217,2,0.04202797012610857,0.4117647058823529,0.4202797012610857,per,1.0,42,ret+size+liq,5,9,1,0
