sharpe1,sharpe2,sharpe3,ann1,ann2,vol,dd1,dd2,turn,edge_bps,cost_share,trades,long_gross,short_gross,req_min_scale,f1,f2,f3,f4,worst_fold,median_fold,pos_folds,calmar2,pq2,G,kinds,weights,purge,cadence,phase,w,nb,hold,k
0.44795378727372065,0.26395590387667806,0.079953417907415,0.04594439427910779,0.024027340378513395,0.11509934231181976,0.14766734542820825,0.15665595079609973,28.237358632309913,25.614580708148544,0.016253510187904965,71268,55703.002406666645,-32446.108900030504,0.8263157894736759,-0.045846905431908044,0.4023786815771068,0.11397481897781253,0.6605962392099338,-0.045846905431908044,0.2581767502774597,3,0.15337649324146585,0.5294117647058824,14.283061984435202,bigp+imbsml,1.0+1.0,ret+size+liq,1,0,54,54,42,3
0.6399035379387532,0.4446670582239929,0.24939149791808649,0.06821495844367043,0.04487498786106259,0.11315063089990826,0.11819108637300713,0.12735319095177056,29.457849407987982,31.94505397246236,0.0168466898091012,79613,63551.51123728082,-28709.192033770698,1.0,0.2287163171152772,0.7379649485872843,0.19180646787539682,0.6583384574603918,0.19180646787539682,0.4435273872878345,4,0.35236641913477473,0.5294117647058824,32.252280742107985,bigp+imbsml,1.0+1.0,ret+size+liq,1,0,54,54,42,4
0.7415830520360468,0.5368621936087099,0.33208183111448586,0.07953974759308591,0.055146800855567335,0.11162533633484181,0.1034667240785967,0.1083746547158706,30.475923157187623,34.53693850880673,0.01739470778443209,83883,69156.59807567604,-27572.95474445756,1.0,0.2390165445927048,0.8629877135693136,0.36114040443684026,0.7206343526059598,0.2390165445927048,0.5408873785214,4,0.508853301541283,0.6470588235294118,42.869993720276014,bigp+imbsml,1.0+1.0,ret+size+liq,1,0,54,54,42,5
0.8965175659303212,0.6846097959244656,0.4725647619549733,0.09706693358833363,0.07174959088593114,0.1101101134373369,0.09418783582329848,0.09852725464330236,31.13403598516618,39.09995054484943,0.017670661298027312,85682,78421.77201678668,-26726.045902987767,1.0,0.2384670691138596,1.0978631401595575,0.645122075205319,0.7974732736097178,0.2384670691138596,0.7212976744075184,4,0.728220746083769,0.5882352941176471,49.916209840523464,bigp+imbsml,1.0+1.0,ret+size+liq,1,0,54,54,42,6
0.7588324209962672,0.5892331700603454,0.41960478898237175,0.0837195444678216,0.06285344835541906,0.11463263644444714,0.12956075392633193,0.13798288775697298,25.925143882726505,40.894706091715555,0.014815956755298943,75532,63532.09473258877,-22608.92467224921,0.8156862745098047,0.1850681077413351,0.726924272057746,0.5082553412268236,1.035325387331933,0.1850681077413351,0.6175898066422848,4,0.4555162555093195,0.5882352941176471,37.56090187137425,bigp+imbsml,1.0+1.0,ret+size+liq,1,0,54,54,54,3
0.9173163424202541,0.7382346904594734,0.5590931465002802,0.10244791907829454,0.08028967491559125,0.1133487539260509,0.10978921906824657,0.1151107573074891,27.073798007376578,45.74346520067248,0.01535195746518737,82051,71940.8725526196,-20266.638894058433,1.0,0.438659536773697,1.0333378621041882,0.5655770984041151,0.9746739038280178,0.438659536773697,0.7701255011160664,4,0.6974993197301084,0.5882352941176471,54.705711297118356,bigp+imbsml,1.0+1.0,ret+size+liq,1,0,54,54,54,4
1.0056139071022294,0.8183939008369052,0.6310921974131363,0.11214891870994093,0.08907128817952592,0.1119521776994138,0.0937601744034432,0.09680420964545466,27.96183109636737,47.610298464081325,0.015840899545811547,84827,77517.39111080539,-19559.330553883854,1.0,0.4352911898297432,1.1492344497430604,0.6855049025417359,1.0606393977448998,0.4352911898297432,0.8730721501433178,4,0.9201179215836732,0.6470588235294118,63.271865863784335,bigp+imbsml,1.0+1.0,ret+size+liq,1,0,54,54,54,5
1.1159924027461623,0.9233150438354858,0.7304992618931457,0.12444629583556477,0.10071357471047082,0.11059748922893232,0.08697982289765105,0.09868075121006648,28.446996520403776,50.751778969802395,0.016071133707349198,86020,84022.89488122126,-18227.299332491035,1.0,0.3286512045775928,1.373171345101141,0.903646044875651,1.1617402749402441,0.3286512045775928,1.0326931599079476,4,1.0206000002581757,0.6470588235294118,64.21202421386147,bigp+imbsml,1.0+1.0,ret+size+liq,1,0,54,54,54,6
1.0016295073858439,0.841241724699841,0.6808036037774582,0.11406315312100301,0.09380407602894225,0.11439116482472363,0.13588559886813611,0.14037005165194416,24.47215580424325,54.145258439386076,0.013874462797073774,77825,68486.77204897546,-12080.313283853362,0.7666666666666678,0.2590233133565067,0.9754024246253294,0.7700770617873854,1.4903560798279003,0.2590233133565067,0.8727397432063575,4,0.6682627449730872,0.7058823529411765,50.90253664508149,bigp+imbsml,1.0+1.0,ret+size+liq,1,0,54,54,63,3
1.1159266571205393,0.947460294176097,0.7789264396062189,0.12746732604979183,0.1061455136522087,0.11328149344525479,0.12099454594638448,0.1254968064510007,25.4590439554245,56.979408565691585,0.014344646326191266,83163,76130.47145486446,-11356.850793567206,0.9741935483870968,0.3880696399495785,1.1808467401435923,0.8462173545463993,1.4761629152834155,0.3880696399495785,1.0135320473449958,4,0.8458025080793784,0.7058823529411765,61.92603028189281,bigp+imbsml,1.0+1.0,ret+size+liq,1,0,54,54,63,4
