m,h,ic_raw,t_raw,ic_pur,t_pur,minF_pur,F1,F2,F3,F4
lvl_9,9,0.0317114389148353,3.2546674520401897,0.02693684926466183,3.2447299828453167,-0.02196587358807979,0.036308536383939785,0.07087397754123184,-0.02196587358807979,0.022919557847787514
per_9,9,0.04074383485502727,4.511931182405072,0.0352679923851642,4.30739003948448,-0.002349709891166271,0.02078692433088452,0.08286278410233322,-0.002349709891166271,0.03915850231639705
zfl_9,9,0.04443852752219691,4.467481301250868,0.038362332332762025,4.358684976694912,0.0017509527242764438,0.03895986384298856,0.0670063844976365,0.0017509527242764438,0.045799070679453456
chg_9,9,0.00039301943662537164,0.02115197663598991,0.008260667943395776,0.9836172989559037,-0.018980327531156662,0.029456161894708115,0.0344768866452179,-0.018980327531156662,-0.01108694601517568
bigp_9,9,0.014117657114148663,1.569625807332965,0.014534238193963689,1.7068516546322436,0.004270951350980193,0.015171165736691302,0.019657295422134513,0.004270951350980193,0.019090425788990385
smlp_9,9,-0.014117657114148667,-1.5696258073329648,-0.014534238193963689,-1.706851654632244,-0.019657295422134513,-0.015171165736691299,-0.019657295422134513,-0.00427095135098019,-0.019090425788990385
eff_9,9,-0.022417745342425407,-2.6565352393275443,-0.005230851825404398,-0.8500475804577546,-0.016514886384049625,-0.0037762413380056006,-0.01388633823370982,-0.016514886384049625,0.013420018953754845
lvl_21,9,0.03661626216753818,3.714008568898596,0.03248537265651117,3.6870306863219544,-0.011498609537542484,0.03974693179941257,0.07010072469464726,-0.011498609537542484,0.03190759267314291
per_21,9,0.05528097736546419,5.437384092887923,0.04539320599496964,5.074613603656331,0.014412744189240222,0.046049220472384404,0.08444223033511,0.014412744189240222,0.03664947492698689
zfl_21,9,0.05196127727041812,4.8455772668327945,0.04078219197535315,4.071557220058706,0.0065698492807360846,0.04743089816231121,0.0647080743678047,0.0065698492807360846,0.044733044733044736
chg_21,9,-0.007298422072334206,-0.7391882889100712,0.0016167420199878866,0.18391743505204594,-0.02209242113548334,0.026595141147998935,0.024212623717761467,-0.02128334534967556,-0.02209242113548334
bigp_21,9,0.01156064705636524,1.2509569801006342,0.006985807521429511,0.7619800862754983,-0.0037440159033567395,0.007801739305283259,-0.0037440159033567395,0.008046142754145636,0.015924107790136494
smlp_21,9,-0.011560647056365241,-1.250956980100635,-0.006985807521429515,-0.7619800862754987,-0.015924107790136498,-0.007801739305283264,0.003744015903356736,-0.008046142754145641,-0.015924107790136498
eff_21,9,-0.03015244803390419,-2.945271706381683,-0.006974632442057975,-0.9457035379657605,-0.03721561977137633,0.015231687491882478,-0.03721561977137633,-0.004741942277673227,-0.00016189743308951305
lvl_42,9,0.04253717056923689,4.19567248941393,0.03096677870189998,3.2924893139359184,0.011902358636316817,0.017413160408183782,0.046060245547895555,0.011902358636316817,0.04799049966514081
per_42,9,0.06045049685165159,5.6751822190270635,0.0464630623038815,4.898408101669228,0.020679205176264447,0.020679205176264447,0.07469972603451544,0.027860061111683314,0.06156576013035343
zfl_42,9,0.04856149940374195,4.253991181549634,0.03266554310340729,3.1785416449581314,0.018309383774622802,0.018309383774622802,0.04634450200082541,0.01947883407148007,0.04597305937018856
