config,comment,ldo_is_trades,ldo_oos_trades,ldo_is_wr_pct,ldo_oos_wr_pct,ldo_is_wpnl,ldo_oos_wpnl,ldo_is_share_pct,ldo_oos_share_pct,is_sharpe_with_ldo,is_sharpe_no_ldo,is_sharpe_delta,oos_sharpe_with_ldo,oos_sharpe_no_ldo,oos_sharpe_delta
/050 EDA rejection basis (4-sym + per-sym ATR + primitive 10),REJECTED: LDO IS contribution +0.85 wpnl near-zero; IS Δ if remove = -0.015 (not improving),13,12,46.15,33.33,0.8486,-19.1331,1.55,-41.27,0.4872,0.4947,0.0075,1.1659,2.0151,0.8492
/051 NEW evidence (3-sym /028 architecture; default ATR; no primitive 10),INVESTIGATE: LDO IS PnL share -14.96%; IS Δ if remove = AXIS 2 result (this script),9,13,33.33,23.08,11.155,-17.4386,36.78,-100.08,0.4571,0.296,-0.1611,0.589,1.603,1.0139
