month,window,n_trades,wpnl,wins,wr_pct
2024-10,IS,2,-3.8129,0,0.0
2024-12,IS,2,6.0617,1,50.0
2025-02,IS,5,8.9062,2,40.0
2025-05,OOS,1,9.7437,1,100.0
2025-06,OOS,1,5.3125,1,100.0
2025-07,OOS,3,-12.8641,0,0.0
2025-08,OOS,3,-15.2805,0,0.0
2025-10,OOS,3,-6.185,0,0.0
2026-04,OOS,2,1.8348,1,50.0
