symbol,trades,wins,win_rate,net_pnl_pct,avg_pnl_pct,pct_of_total_pnl
BCHUSDT,78,37,47.4,71.4726,0.9163,105.77
LDOUSDT,13,5,38.5,13.3722,1.0286,19.79
TRXUSDT,62,19,30.6,-17.2707,-0.2786,-25.56
