metric,in_sample,out_of_sample,ratio
sharpe,-0.0118,1.0787,-91.3176
sortino,-0.0070,0.8125,-115.6583
max_drawdown,22.62%,17.35%,0.7672
win_rate,40.5%,51.1%,1.2603
profit_factor,0.9941,1.8053,1.8160
total_trades,116,47,0.4052
calmar_ratio,0.0283,1.7824,62.9159
dsr,-72.3229,-7.4525,0.1030
total_net_pnl,-0.6408,30.9317,-48.2721
psr_monthly_vs_0,0.492266,0.826704,1.6794
psr_monthly_vs_1,0.049881,0.396350,7.9458
psr_daily_vs_0,0.492400,0.910855,1.8498
n_effective_trials,9,9,1.0000
n_eff_per_cell_median,9,9,1.0000
r5_fire_rate_is,0.000000,0.000000,—
r5_fire_rate_oos,0.000000,0.000000,—
r5_binary_kill_fire_rate_is,0.000000,0.000000,—
r5_binary_kill_fire_rate_oos,0.000000,0.000000,—
vol_ceiling_fire_rate_is,0.000000,0.000000,—
vol_ceiling_fire_rate_oos,0.000000,0.000000,—
