feature_name,mean_gain,importance_rank
vol_atr_14,3565.399,1
trend_aroon_osc_50,3009.3848,2
stat_autocorr_lag5,2882.6735,3
oi_delta_30_z90,2470.993,4
trend_adx_14,1900.8751,5
stat_skew_20,1759.0126,6
interact_natr_x_adx,1715.3842,7
mom_macd_line_12_26_9,1570.8331,8
dot_vs_btc_ret_ratio_30,1507.4513,9
vol_natr_14,1434.8877,10
stat_kurtosis_20,1390.6083,11
long_short_zscore_30,1050.5526,12
mom_macd_hist_12_26_9,916.9188,13
vol_bb_bandwidth_20,914.1571,14
funding_rate_zscore_90,782.2912,15
vol_cmf_14,669.7891,16
trend_minus_di_14,625.0653,17
mr_pct_from_low_20,600.3164,18
mr_pct_from_high_20,591.8056,19
funding_rate_zscore_30,460.4492,20
vol_mfi_14,448.2195,21
trend_plus_di_14,446.9121,22
interact_rsi_x_natr,287.1765,23
trend_aroon_osc_14,270.2182,24
interact_rsi_x_adx,266.6584,25
mom_rsi_14,225.5347,26
mom_stoch_d_14,210.0509,27
trend_ema_cross_5_12,188.3996,28
trend_supertrend_14_3,181.7867,29
regime_momentum_signed_5d,171.8141,30
mom_willr_14,155.8345,31
interact_stoch_x_adx,153.4137,32
mom_stoch_k_14,119.4067,33
cal_dow_norm,115.2861,34
mom_roc_10,104.1305,35
vol_volume_rel_20,94.6188,36
vol_range_spike_72,82.9837,37
stat_return_5,74.7398,38
vol_volume_pctchg_5,64.6461,39
stat_log_return_1,58.8232,40
vol_taker_buy_ratio,54.3235,41
vol_range_spike_24,53.541,42
interact_ret1_x_natr,46.2629,43
interact_ret1_x_ret3,33.5149,44
cal_hour_norm,2.2076,45
mr_rsi_extreme_14,0.0,46
