feature,imp_rank,abs_ic_21bar,ic_21bar,adf_raw_pass,cluster
vol_ad,1,0.0870517443315968,-0.0870517443315968,False,44
trend_sma_50,3,0.1184675392788068,-0.1184675392788068,False,45
vol_taker_buy_ratio_sma_50,8,0.0870012100643389,0.0870012100643389,True,16
stat_kurtosis_50,9,0.0045122559425501,0.0045122559425501,True,42
stat_autocorr_lag1,10,0.0237630215439125,0.0237630215439125,True,1
vol_obv,11,0.0115328833348012,-0.0115328833348012,False,51
vol_garman_klass_50,12,0.0351681984939557,0.0351681984939557,True,49
trend_aroon_osc_50,13,0.0207950640175871,0.0207950640175871,True,20
stat_autocorr_lag10,14,0.0265798347609085,-0.0265798347609085,True,52
stat_skew_50,15,0.0368598966092121,0.0368598966092121,True,18
mr_pct_from_low_100,18,0.0872388742381829,0.0872388742381829,True,25
trend_adx_14,19,0.1205379809377624,0.1205379809377624,True,46
stat_skew_20,20,0.009587983336536,0.009587983336536,True,17
stat_autocorr_lag5,26,0.0779356681400472,0.0779356681400472,True,2
vol_hist_10,33,0.0238017009288177,0.0238017009288177,True,48
mr_pct_from_high_100,36,0.015487355263365,0.015487355263365,True,22
trend_aroon_down_50,38,0.0307919716763828,-0.0307919716763828,True,23
trend_aroon_osc_25,39,0.0186939193512023,-0.0186939193512023,True,32
stat_kurtosis_30,40,0.0261649180789911,-0.0261649180789911,True,41
trend_adx_7,48,0.111243944847216,0.111243944847216,True,47
trend_plus_di_21,49,0.019824069307489,0.019824069307489,True,35
vol_cmf_20,51,0.0275306431750629,0.0275306431750629,True,31
mr_pct_from_low_20,53,0.0124038518230087,0.0124038518230087,True,26
mom_macd_hist_12_26_9,58,0.0490893558427506,-0.0490893558427506,True,29
trend_psar_af,59,0.0143310717940555,-0.0143310717940555,True,40
vol_taker_buy_ratio_sma_10,66,0.0458159618158819,0.0458159618158819,True,15
stat_skew_10,75,0.018837746021269,-0.018837746021269,True,19
stat_kurtosis_10,87,0.0324383944150966,-0.0324383944150966,True,43
trend_aroon_osc_14,89,0.0362508542366658,-0.0362508542366658,True,34
mr_pct_from_high_10,91,0.0496454240080498,-0.0496454240080498,True,27
trend_supertrend_7_3,94,0.0628663567090786,0.0628663567090786,True,21
vol_hist_5,97,0.0251867725138308,0.0251867725138308,True,50
mr_bb_pctb_10,107,0.0116028872418989,-0.0116028872418989,True,30
mom_macd_hist_5_13_3,109,0.0176920333030325,-0.0176920333030325,True,28
trend_aroon_down_25,115,0.0187917186710422,-0.0187917186710422,True,33
trend_supertrend_10_2,123,0.0236822718128609,0.0236822718128609,True,37
vol_volume_pctchg_15,137,0.0313762659709998,0.0313762659709998,True,8
cal_dow_norm,138,0.0035361990275933,0.0035361990275933,True,11
vol_volume_pctchg_20,147,0.0387155310011271,0.0387155310011271,True,9
vol_taker_buy_ratio,154,0.0326939803420863,0.0326939803420863,True,14
mr_rsi_extreme_14,190,0.0621675994024363,-0.0621675994024363,True,24
