feature,ic_1bar,ic_21bar,abs_ic_1bar,abs_ic_21bar,nan_frac,is_n,imp_gain,imp_rank,adf_raw_pass,adf_family,cluster
vol_ad,-0.022466825644065908,-0.08705174433159685,0.022466825644065908,0.08705174433159685,0.0,5706,4857.7882,1,False,volume,44
vol_vwap,-0.03817035329122713,-0.15918125343448142,0.03817035329122713,0.15918125343448142,0.0,5706,4719.771,2,False,volume,44
trend_sma_50,-0.018400723894113208,-0.11846753927880685,0.018400723894113208,0.11846753927880685,0.008555962982364239,5657,3822.2302,3,False,trend,45
trend_sma_100,-0.017514604765840096,-0.11614487003076102,0.017514604765840096,0.11614487003076102,0.017286537454164485,5607,3038.3845,4,False,trend,45
trend_ema_100,-0.018219073678553698,-0.11549556389770849,0.018219073678553698,0.11549556389770849,0.017286537454164485,5607,2469.0896,5,False,trend,45
trend_ema_5,-0.021314458025765277,-0.12409584850258179,0.021314458025765277,0.12409584850258179,0.0006984459577440195,5702,2285.6081,6,False,trend,45
mr_dist_vwap,0.006893689088039994,-0.02015707160289126,0.006893689088039994,0.02015707160289126,0.0,5706,2226.2092,7,False,mean_reversion,45
vol_taker_buy_ratio_sma_50,0.010233905118420896,0.08700121006433892,0.010233905118420896,0.08700121006433892,0.008555962982364239,5657,2226.1138,8,True,volatility,16
stat_kurtosis_50,-0.004988364676919641,0.004512255942550174,0.004988364676919641,0.004512255942550174,0.008730574471800244,5656,1977.2468,9,True,statistical,42
stat_autocorr_lag1,0.012459133549531681,0.02376302154391257,0.012459133549531681,0.02376302154391257,0.008730574471800244,5656,1965.0491,10,True,statistical,1
vol_obv,0.007914053268619667,-0.011532883334801234,0.007914053268619667,0.011532883334801234,0.00017461148943600488,5705,1957.032,11,False,volume,51
vol_garman_klass_50,0.010950796273207369,0.03516819849395574,0.010950796273207369,0.03516819849395574,0.008555962982364239,5657,1845.8144,12,True,volatility,49
trend_aroon_osc_50,0.008290263908633091,0.020795064017587194,0.008290263908633091,0.020795064017587194,0.008730574471800244,5656,1782.0566,13,True,trend,20
stat_autocorr_lag10,-0.0024230279558991735,-0.02657983476090858,0.0024230279558991735,0.02657983476090858,0.008730574471800244,5656,1679.0245,14,True,statistical,52
stat_skew_50,0.018188218921899653,0.03685989660921211,0.018188218921899653,0.03685989660921211,0.008730574471800244,5656,1592.1186,15,True,statistical,18
trend_ema_50,-0.01857992462063673,-0.11917128277792931,0.01857992462063673,0.11917128277792931,0.008555962982364239,5657,1485.8558,16,False,trend,45
vol_hist_50,0.009514173902219033,0.01812750992685176,0.009514173902219033,0.01812750992685176,0.008730574471800244,5656,1383.9686,17,True,volatility,49
mr_pct_from_low_100,0.015985824660518354,0.08723887423818293,0.015985824660518354,0.08723887423818293,0.017286537454164485,5607,1377.3916,18,True,mean_reversion,25
trend_adx_14,0.028083663362891177,0.12053798093776248,0.028083663362891177,0.12053798093776248,0.0022699493626680634,5693,1255.4745,19,True,trend,46
stat_skew_20,0.010346177416253108,0.00958798333653604,0.010346177416253108,0.00958798333653604,0.003492229788720098,5686,1225.3771,20,True,statistical,17
trend_sma_20,-0.01907611455273238,-0.11899544994761918,0.01907611455273238,0.11899544994761918,0.0033176182992840928,5687,1198.6593,21,False,trend,45
vol_bb_bandwidth_30,0.016549843674160333,0.07400774574861713,0.016549843674160333,0.07400774574861713,0.0050637331936441415,5677,1157.9209,22,True,volatility,49
vol_hist_20,0.009857642746497707,0.025956236809780472,0.009857642746497707,0.025956236809780472,0.003492229788720098,5686,1133.5099,23,True,volatility,49
trend_adx_21,0.02594034969088921,0.11987803133684102,0.02594034969088921,0.11987803133684102,0.003492229788720098,5686,1111.4176,24,True,trend,46
vol_parkinson_50,0.011014233473509775,0.03238677231014595,0.011014233473509775,0.03238677231014595,0.008555962982364239,5657,1109.92,25,True,volatility,49
stat_autocorr_lag5,0.0017541007917097325,0.07793566814004728,0.0017541007917097325,0.07793566814004728,0.008730574471800244,5656,1090.9962,26,True,statistical,2
trend_ema_21,-0.01895894987362845,-0.12016165461880775,0.01895894987362845,0.12016165461880775,0.003492229788720098,5686,1020.5531,27,False,trend,45
trend_sma_cross_20_100,0.012315492827341049,0.07515839897282839,0.012315492827341049,0.07515839897282839,0.017286537454164485,5607,972.2382,28,True,trend,20
trend_sma_cross_20_50,0.003292992577356195,0.050218061750198155,0.003292992577356195,0.050218061750198155,0.008555962982364239,5657,964.6317,29,True,trend,20
mr_pct_from_low_50,0.01000974942301157,0.06548175080383692,0.01000974942301157,0.06548175080383692,0.008555962982364239,5657,945.9589,30,True,mean_reversion,25
trend_aroon_up_50,0.00534042885547715,0.004953034264222242,0.00534042885547715,0.004953034264222242,0.008730574471800244,5656,872.2037,31,True,trend,20
vol_parkinson_20,0.01608987340194292,0.04180736677419389,0.01608987340194292,0.04180736677419389,0.0033176182992840928,5687,851.1469,32,True,volatility,49
vol_hist_10,0.012786295111127168,0.023801700928817778,0.012786295111127168,0.023801700928817778,0.001746114894360049,5696,826.8858,33,True,volatility,48
vol_hist_30,0.012637083785822394,0.012867576456397366,0.012637083785822394,0.012867576456397366,0.005238344683080147,5676,821.9361,34,True,volatility,49
vol_garman_klass_30,0.011917701799212059,0.03709392572937763,0.011917701799212059,0.03709392572937763,0.0050637331936441415,5677,819.7533,35,True,volatility,49
mr_pct_from_high_100,-0.006566339342800317,0.015487355263365046,0.006566339342800317,0.015487355263365046,0.017286537454164485,5607,760.6277,36,True,mean_reversion,22
vol_atr_21,-0.006317597426805778,-0.08029023452465425,0.006317597426805778,0.08029023452465425,0.003492229788720098,5686,746.2573,37,True,volatility,45
trend_aroon_down_50,-0.016591865508001142,-0.03079197167638286,0.016591865508001142,0.03079197167638286,0.008730574471800244,5656,725.4086,38,True,trend,23
trend_aroon_osc_25,-0.01276034833822357,-0.01869391935120231,0.01276034833822357,0.01869391935120231,0.004365287235900122,5681,725.1934,39,True,trend,32
stat_kurtosis_30,-0.015636373054744693,-0.026164918078991184,0.015636373054744693,0.026164918078991184,0.005238344683080147,5676,708.8113,40,True,statistical,41
trend_ema_9,-0.0205891930029415,-0.12284617017217482,0.0205891930029415,0.12284617017217482,0.001396891915488039,5698,695.3361,41,False,trend,45
interact_natr_x_adx,0.029860186321490133,0.10107413123102119,0.029860186321490133,0.10107413123102119,0.0022699493626680634,5693,670.5393,42,True,interaction,49
stat_kurtosis_20,-0.03025566799527073,-0.043465653487807974,0.03025566799527073,0.043465653487807974,0.003492229788720098,5686,654.7618,43,True,statistical,41
stat_skew_30,0.024101098362593217,0.05714133810858352,0.024101098362593217,0.05714133810858352,0.005238344683080147,5676,641.4164,44,True,statistical,17
