outer_seed,training_window_start_idx,regime_label,bar_interval_label,sample_density_multiplier,sharpe_scaled,n_resampled_trades
0,0,early,4h,2.0,0.23100734476208487,346
0,1,mid,4h,2.0,0.3415246455714885,236
0,2,late,4h,2.0,0.7567059608634666,122
1,0,early,4h,2.0,0.3293338875550706,346
1,1,mid,4h,2.0,0.3243512060421481,236
1,2,late,4h,2.0,0.8041060476538858,122
2,0,early,4h,2.0,0.299350364287918,346
2,1,mid,4h,2.0,0.16853153254914524,236
2,2,late,4h,2.0,0.6297513461456475,122
3,0,early,4h,2.0,0.21839435396224915,346
3,1,mid,4h,2.0,0.3283397839661086,236
3,2,late,4h,2.0,0.6385419479290741,122
4,0,early,4h,2.0,0.3137656462498812,346
4,1,mid,4h,2.0,0.17073585248454176,236
4,2,late,4h,2.0,0.5488727684800958,122
5,0,early,4h,2.0,0.2898495379671758,346
5,1,mid,4h,2.0,0.3290600851675395,236
5,2,late,4h,2.0,0.5845697441612077,122
6,0,early,4h,2.0,0.2910712946672601,346
6,1,mid,4h,2.0,0.23675198368792852,236
6,2,late,4h,2.0,0.6499053548775289,122
7,0,early,4h,2.0,0.1080358332636262,346
7,1,mid,4h,2.0,0.15471385069206803,236
7,2,late,4h,2.0,0.5638737027618119,122
8,0,early,4h,2.0,0.29855267941917174,346
8,1,mid,4h,2.0,0.1718103454113207,236
8,2,late,4h,2.0,0.7350943447951717,122
9,0,early,4h,2.0,0.32523412300247334,346
9,1,mid,4h,2.0,0.30875417625210333,236
9,2,late,4h,2.0,0.5729574647465293,122
