outer_seed,training_window_start_idx,regime_label,bar_interval_label,sample_density_multiplier,sharpe_scaled,n_resampled_trades
0,0,early,8h_baseline,1.0,0.07645772086592195,173
0,1,mid,8h_baseline,1.0,0.1372170938976191,118
0,2,late,8h_baseline,1.0,0.656967050623581,61
1,0,early,8h_baseline,1.0,0.36988408380123816,173
1,1,mid,8h_baseline,1.0,0.30049069948087465,118
1,2,late,8h_baseline,1.0,0.5708239397500862,61
2,0,early,8h_baseline,1.0,0.3291883408628861,173
2,1,mid,8h_baseline,1.0,0.357125575486106,118
2,2,late,8h_baseline,1.0,0.6722052204925638,61
3,0,early,8h_baseline,1.0,0.23865598597652665,173
3,1,mid,8h_baseline,1.0,0.3177114577922985,118
3,2,late,8h_baseline,1.0,0.40603138470940753,61
4,0,early,8h_baseline,1.0,0.13802755668744981,173
4,1,mid,8h_baseline,1.0,0.55642670008103,118
4,2,late,8h_baseline,1.0,0.7060004637816902,61
5,0,early,8h_baseline,1.0,0.317338072770585,173
5,1,mid,8h_baseline,1.0,0.3558683863790527,118
5,2,late,8h_baseline,1.0,0.49562982258634786,61
6,0,early,8h_baseline,1.0,0.4982557091602565,173
6,1,mid,8h_baseline,1.0,0.013300057133940578,118
6,2,late,8h_baseline,1.0,0.6651446281729907,61
7,0,early,8h_baseline,1.0,0.3064322755231515,173
7,1,mid,8h_baseline,1.0,0.3416208898604618,118
7,2,late,8h_baseline,1.0,0.7432049394981414,61
8,0,early,8h_baseline,1.0,0.30249683967605595,173
8,1,mid,8h_baseline,1.0,0.09823907123793618,118
8,2,late,8h_baseline,1.0,0.6019971378045338,61
9,0,early,8h_baseline,1.0,0.2976619177900896,173
9,1,mid,8h_baseline,1.0,0.13871363285709384,118
9,2,late,8h_baseline,1.0,0.8427501976106834,61
