symbol,n_8h_is_candles,n_4h_is_candles_projected,n_12h_is_candles_projected,n_multi_offset_12h_is_candles_projected,is_start_ms,is_end_ms,trade_rate_proxy_4h_is,trade_rate_proxy_12h_is,trade_rate_proxy_multi_offset_12h_is
BCHUSDT,5727,11454,3818,7636,1577836800000,1742745600000,346.0,115.33333333333333,230.66666666666666
LDOUSDT,2741,5482,1827,3654,1663833600000,1742745600000,346.0,115.31229478292595,230.6245895658519
TRXUSDT,5669,11338,3779,7558,1579075200000,1742745600000,346.0,115.32316105133181,230.64632210266362
PORTFOLIO,14137,28274,9424,18849,0,0,346.0,115.32517507250478,230.6625875362524
