month,pnl_pct,trade_count
2022-01,-8.3615,4
2022-02,-0.4844,8
2022-03,-3.4264,6
2022-04,-0.8721,5
2022-05,-4.3003,7
2022-06,-3.9693,7
2022-07,6.1426,6
2022-08,-0.1291,5
2022-09,-7.8529,7
2022-10,2.9757,4
2022-11,1.4259,5
2022-12,2.0120,7
2023-01,-5.2764,6
2023-02,-6.7026,5
2023-03,-4.8824,7
2023-04,0.8032,4
2023-05,-3.0981,7
2023-06,-2.2712,5
2023-07,0.8529,4
2023-08,-0.8826,6
2023-09,0.7532,4
2023-10,-0.0432,6
2023-11,-2.0457,6
2023-12,-1.3784,5
2024-01,2.9016,6
2024-02,-0.7344,6
2024-03,-1.8361,6
2024-04,0.6880,5
2024-05,9.4693,6
2024-06,-2.7250,5
2024-07,-5.0311,8
2024-08,0.2545,7
2024-09,-0.4305,6
2024-10,3.8430,5
2024-11,0.8784,5
2024-12,0.6459,6
2025-01,-4.1450,7
2025-02,-6.6577,6
2025-03,0.0861,4
