regime_tag,in_sample,candidate_sharpe,candidate_max_dd,candidate_trade_count,baseline_sharpe,baseline_max_dd,baseline_trade_count
bull,True,-0.30,,211,0.09,,229
bull,False,-3.20,,39,-2.02,,48
bear,True,1.19,,139,-0.23,,142
bear,False,1.42,,80,1.62,,68
chop,True,1.29,,179,-0.27,,175
chop,False,0.59,,79,3.55,,46
vol-spike,True,1.94,,84,2.77,,75
vol-spike,False,0.0,,5,0.0,,13
recovery,True,,,0,,,0
recovery,False,0.0,,21,0.0,,14
