symbol,trades,wins,win_rate,net_pnl_pct,avg_pnl_pct,pct_of_total_pnl
LDOUSDT,18,8,44.4,17.7156,0.9842,76.03
BCHUSDT,36,17,47.2,8.1535,0.2265,34.99
TRXUSDT,24,10,41.7,3.9210,0.1634,16.83
MKRUSDT,12,4,33.3,-6.4881,-0.5407,-27.84
