feature_name,mean_gain,importance_rank
vol_atr_14,7476.0187,1
trend_aroon_osc_50,5966.8381,2
stat_autocorr_lag5,4151.0948,3
stat_kurtosis_20,3056.0125,4
mom_macd_line_12_26_9,2782.7013,5
interact_natr_x_adx,2775.7697,6
vol_natr_14,2736.4817,7
trend_adx_14,2448.8948,8
stat_skew_20,2331.7548,9
vol_bb_bandwidth_20,2256.5755,10
mom_macd_hist_12_26_9,1692.7579,11
vol_cmf_14,1315.455,12
trend_minus_di_14,1267.8522,13
mr_pct_from_low_20,993.8198,14
vol_mfi_14,965.7543,15
trend_plus_di_14,839.8582,16
mr_pct_from_high_20,761.0931,17
interact_rsi_x_adx,683.0321,18
trend_aroon_osc_14,505.569,19
trend_supertrend_14_3,476.6153,20
mom_stoch_d_14,401.1305,21
vol_range_spike_72,360.4086,22
interact_stoch_x_adx,354.8908,23
vol_taker_buy_ratio,323.7386,24
interact_rsi_x_natr,323.2783,25
trend_ema_cross_5_12,311.0725,26
mom_rsi_14,297.1907,27
mom_roc_10,271.4081,28
mom_stoch_k_14,231.1363,29
stat_return_5,230.6033,30
mom_willr_14,200.9406,31
vol_volume_rel_20,197.6011,32
cal_dow_norm,140.2708,33
interact_ret1_x_ret3,137.1715,34
vol_volume_pctchg_5,135.0726,35
vol_range_spike_24,132.5723,36
interact_ret1_x_natr,84.2641,37
stat_log_return_1,73.0439,38
mr_rsi_extreme_14,6.1008,39
cal_hour_norm,3.4552,40
