symbol,trades,wins,win_rate,net_pnl_pct,avg_pnl_pct,pct_of_total_pnl
ETHUSDT,146,53,36.3,-32.3490,-0.2216,47.08
BTCUSDT,141,52,36.9,-36.3637,-0.2579,52.92
