,/018,/019,/028,/031,baseline
/018,1.0,0.1418,0.3256,0.289,0.526
/019,0.1418,1.0,0.2539,-0.3542,-0.1125
/028,0.3256,0.2539,1.0,-0.155,0.5267
/031,0.289,-0.3542,-0.155,1.0,0.5826
baseline,0.526,-0.1125,0.5267,0.5826,1.0
