yyyymm,/018,/019,/028,/031,baseline
2022-01,11.0224,2.0125,-15.396799999999999,-43.2498,-13.030200000000002
2022-02,0.20840000000000014,0.0,10.7339,8.343700000000002,6.570099999999999
2022-03,-5.0485,15.352,-3.563,32.9388,-13.1816
2022-04,16.2759,-4.0964,-7.9136,-23.7284,-12.4801
2022-05,-4.1018,0.0,0.37849999999999984,5.529600000000001,8.9145
2022-06,6.007899999999999,-1.6486,-4.0291,46.506,41.4607
2022-07,12.1311,-6.0459,-6.758900000000001,-4.566400000000002,33.2645
2022-08,-4.6508,-3.0136999999999996,0.11109999999999998,-15.4662,-24.5318
2022-09,8.4542,6.0308,2.3503,29.8362,8.722099999999998
2022-10,-8.2163,-2.0997,-2.0294,-10.4739,-5.3187999999999995
2022-11,1.4609999999999994,-0.9813,0.0,10.421800000000001,13.9161
2022-12,-5.5153,-0.2636000000000003,-2.212,7.9254,-9.445500000000001
2023-01,-1.215,-1.7237999999999998,-13.6903,-5.531599999999999,-4.6025
2023-02,7.264399999999999,9.8917,-8.280000000000001,-19.459899999999998,-0.4883000000000015
2023-03,24.1357,-3.0829,4.1817,12.197000000000003,13.9647
2023-04,3.1285,2.3682999999999996,-1.3313,20.1373,-11.2767
2023-05,-2.8048,-2.7137000000000002,-3.0513,-3.0040000000000022,7.2259
2023-06,0.0835999999999999,-1.3145999999999998,18.6952,18.772199999999998,11.6336
2023-07,-6.0583,3.2969,4.286900000000001,-12.030899999999999,7.9717
2023-08,-1.9556,-0.7716,-4.3111,13.076,6.673399999999999
2023-09,6.8454999999999995,-3.9478999999999997,2.9257000000000004,19.7928,0.6168000000000009
2023-10,-3.7471,2.2830000000000004,-4.906000000000001,-10.4573,18.626700000000003
2023-11,-19.926000000000002,-0.5023999999999997,-0.5175000000000001,11.853000000000002,1.4062999999999999
2023-12,-10.0911,-0.9292999999999999,-2.4045,-18.807299999999998,10.2065
2024-01,7.496600000000001,0.12919999999999954,0.46030000000000015,18.8093,1.1786999999999999
2024-02,8.9092,4.1359,3.9554,0.665,4.8703
2024-03,4.7705,0.0,16.9605,2.7335000000000007,-3.4101
2024-04,-13.545300000000001,13.689,29.0978,10.6458,-9.247300000000001
2024-05,-5.045999999999999,1.2683999999999997,0.0,2.4637999999999978,13.4124
2024-06,-0.3747999999999996,-4.8034,-7.683300000000001,-13.5047,-17.7325
2024-07,-1.0278999999999996,0.9671999999999998,-5.1292,-18.8809,-6.1850000000000005
2024-08,2.0324999999999998,1.5492,9.9532,15.9408,0.6516999999999988
2024-09,-2.686,-3.4235,-4.3933,-16.4342,-8.0797
2024-10,3.9212,-2.7483,3.5601000000000003,-1.0156,16.0279
2024-11,-8.5659,-1.7516,0.0,-9.005500000000001,-10.428199999999999
2024-12,5.4381,-3.6878,0.0,11.977,6.587399999999999
2025-01,16.4635,-5.9932,10.295000000000002,6.164800000000004,-38.683800000000005
2025-02,-4.4872000000000005,-2.8786,-9.807099999999998,0.7528999999999995,3.123199999999999
2025-03,0.0,-6.3212,-10.2531,12.7102,5.148999999999998
