yyyymm,/018,/019,/028,/031,baseline
2025-03,-5.2529,0.0,0.0,9.585899999999999,5.4761999999999995
2025-04,15.9661,-4.6471,-9.7919,7.109500000000001,-5.174899999999999
2025-05,0.8146000000000004,6.017200000000001,-0.918,-6.5176,-22.9157
2025-06,-0.15410000000000013,0.0,0.0,11.132399999999999,8.6802
2025-07,1.6029,4.0943,0.0,-2.8232,-14.3564
2025-08,13.415700000000001,3.0591999999999997,7.5463000000000005,-0.7307000000000012,22.3902
2025-09,7.8613,15.354000000000001,-1.3022,9.800099999999999,8.7412
2025-10,2.2814,4.0809,0.0,15.7501,12.3524
2025-11,16.1269,1.9438000000000002,23.133399999999998,8.623,29.608200000000004
2025-12,0.3849000000000003,1.5138,-4.249499999999999,14.0832,-6.9117
2026-01,-8.4196,-7.867700000000001,-7.8093,7.703199999999999,-3.3398999999999996
2026-02,-13.530100000000001,1.1003999999999996,3.7788,-14.225200000000001,-12.2382
2026-03,6.0418,-8.848700000000001,-1.8113000000000001,33.0936,25.8274
2026-04,0.19399999999999973,0.0,0.2638,3.6819999999999995,-2.086099999999999
2026-05,2.0873,1.1063999999999996,0.5414,10.5131,-7.9185
