,/018,/019,/028,/031,baseline
/018,1.0,-0.2471,-0.0793,0.0376,0.0593
/019,-0.2471,1.0,0.2657,0.1631,-0.0795
/028,-0.0793,0.2657,1.0,0.3674,-0.045
/031,0.0376,0.1631,0.3674,1.0,0.3284
baseline,0.0593,-0.0795,-0.045,0.3284,1.0
