universe,symbol,horizon_bars,n_risk_state,p_base_stressed,p_cond_stressed,lift,cond_fwd_ret_mean
core,BCHUSDT,3,222,0.3332,0.4324,1.2977,0.0073
core,BCHUSDT,9,222,0.3332,0.3964,1.1895,0.01358
core,BCHUSDT,21,222,0.3332,0.3514,1.0544,0.01272
core,LDOUSDT,3,25,0.3333,0.48,1.44,0.01991
core,LDOUSDT,9,25,0.3333,0.44,1.32,0.05203
core,LDOUSDT,21,25,0.3333,0.4,1.2,0.02687
core,TRXUSDT,3,220,0.3333,0.4136,1.2409,0.00347
core,TRXUSDT,9,220,0.3333,0.3545,1.0636,0.00199
core,TRXUSDT,21,220,0.3333,0.3545,1.0636,0.0072
wide,BCHUSDT,3,222,0.3332,0.4324,1.2977,0.0073
wide,BCHUSDT,9,222,0.3332,0.3964,1.1895,0.01358
wide,BCHUSDT,21,222,0.3332,0.3514,1.0544,0.01272
wide,LDOUSDT,3,25,0.3333,0.48,1.44,0.01991
wide,LDOUSDT,9,25,0.3333,0.44,1.32,0.05203
wide,LDOUSDT,21,25,0.3333,0.4,1.2,0.02687
wide,TRXUSDT,3,220,0.3333,0.4136,1.2409,0.00347
wide,TRXUSDT,9,220,0.3333,0.3545,1.0636,0.00199
wide,TRXUSDT,21,220,0.3333,0.3545,1.0636,0.0072
wide,GALAUSDT,3,98,0.3335,0.4592,1.3767,0.01782
wide,GALAUSDT,9,98,0.3335,0.4082,1.2237,0.03185
wide,GALAUSDT,21,98,0.3335,0.4694,1.4073,0.03594
wide,HBARUSDT,3,124,0.3332,0.4194,1.2586,0.00381
wide,HBARUSDT,9,124,0.3332,0.4435,1.3312,0.03296
wide,HBARUSDT,21,124,0.3332,0.3952,1.186,0.0538
wide,ICPUSDT,3,119,0.3335,0.5126,1.537,0.00208
wide,ICPUSDT,9,119,0.3335,0.4034,1.2095,0.00684
wide,ICPUSDT,21,119,0.3335,0.3782,1.1339,0.0157
wide,RUNEUSDT,3,145,0.3333,0.469,1.4069,0.00458
wide,RUNEUSDT,9,145,0.3333,0.3724,1.1172,0.02374
wide,RUNEUSDT,21,145,0.3333,0.4,1.2,0.03968
wide,MANAUSDT,3,144,0.3335,0.4583,1.3743,0.00485
wide,MANAUSDT,9,144,0.3335,0.3681,1.1036,-0.00438
wide,MANAUSDT,21,144,0.3335,0.3264,0.9787,0.00436
wide,SANDUSDT,3,142,0.3333,0.5141,1.5423,0.00339
wide,SANDUSDT,9,142,0.3333,0.4507,1.3521,0.00422
wide,SANDUSDT,21,142,0.3333,0.4366,1.3099,0.03924
wide,AAVEUSDT,3,147,0.3332,0.5374,1.6128,0.00599
wide,AAVEUSDT,9,147,0.3332,0.4558,1.3679,0.01333
wide,AAVEUSDT,21,147,0.3332,0.3673,1.1025,0.02573
wide,AVAXUSDT,3,148,0.3332,0.4459,1.3383,0.00453
wide,AVAXUSDT,9,148,0.3332,0.4257,1.2775,0.01658
wide,AVAXUSDT,21,148,0.3332,0.3784,1.1356,0.02152
wide,ATOMUSDT,3,203,0.3333,0.4778,1.4335,-0.00428
wide,ATOMUSDT,9,203,0.3333,0.4926,1.4778,-0.00273
wide,ATOMUSDT,21,203,0.3333,0.3941,1.1823,-0.00921
wide,ADAUSDT,3,201,0.3332,0.4776,1.4333,-0.00277
wide,ADAUSDT,9,201,0.3332,0.3881,1.1645,-0.00015
wide,ADAUSDT,21,201,0.3332,0.4279,1.284,0.01322
wide,ALGOUSDT,3,165,0.3332,0.4848,1.4551,0.00523
wide,ALGOUSDT,9,165,0.3332,0.3879,1.164,0.01869
wide,ALGOUSDT,21,165,0.3332,0.4727,1.4187,0.03942
wide,AXSUSDT,3,144,0.3332,0.3264,0.9795,-0.00659
wide,AXSUSDT,9,144,0.3332,0.3681,1.1046,-0.02129
wide,AXSUSDT,21,144,0.3332,0.3056,0.917,-0.00623
wide,CHZUSDT,3,149,0.3332,0.3826,1.1481,0.00417
wide,CHZUSDT,9,149,0.3332,0.3691,1.1078,0.00711
wide,CHZUSDT,21,149,0.3332,0.3557,1.0676,0.01259
wide,CRVUSDT,3,114,0.3335,0.4649,1.3942,0.01208
wide,CRVUSDT,9,114,0.3335,0.4035,1.2101,0.02811
wide,CRVUSDT,21,114,0.3335,0.3947,1.1838,0.03156
wide,EOSUSDT,3,153,0.3333,0.5294,1.5882,-0.00449
wide,EOSUSDT,9,153,0.3333,0.3987,1.1961,0.00284
wide,EOSUSDT,21,153,0.3333,0.3137,0.9412,0.01452
wide,GRTUSDT,3,130,0.3332,0.4769,1.4313,0.00646
wide,GRTUSDT,9,130,0.3332,0.4769,1.4313,0.01355
wide,GRTUSDT,21,130,0.3332,0.3538,1.062,0.04438
wide,THETAUSDT,3,155,0.3333,0.4258,1.2774,0.0077
wide,THETAUSDT,9,155,0.3333,0.4387,1.3161,0.01007
wide,THETAUSDT,21,155,0.3333,0.4258,1.2774,0.05448
wide,VETUSDT,3,154,0.3333,0.4351,1.3052,0.01083
wide,VETUSDT,9,154,0.3333,0.3896,1.1688,0.01951
wide,VETUSDT,21,154,0.3333,0.3896,1.1688,0.02106
