deriv_feature,max_abs_ic_vs_any_price_feature,universe,check4_pass_ic_lt_0p70
b_level,0.23791,core,True
b_momentum_3,0.06245,core,True
b_zscore_30,0.21832,core,True
f_accel_3,0.01794,core,True
f_extreme_persist_9,0.0775,core,True
f_mom_3,0.10166,core,True
f_mom_9,0.23638,core,True
f_rate,0.25361,core,True
f_sign_persist_9,0.205,core,True
f_zscore_30,0.32107,core,True
fb_spread_z,0.08876,core,True
proxy_taker_imb,0.14791,core,True
proxy_vol_surge_z,0.09609,core,True
b_level,0.3321,wide,True
b_momentum_3,0.07025,wide,True
b_zscore_30,0.256,wide,True
f_accel_3,0.0305,wide,True
f_extreme_persist_9,0.08422,wide,True
f_mom_3,0.08839,wide,True
f_mom_9,0.219,wide,True
f_rate,0.33029,wide,True
f_sign_persist_9,0.28618,wide,True
f_zscore_30,0.30204,wide,True
fb_spread_z,0.0367,wide,True
proxy_taker_imb,0.13472,wide,True
proxy_vol_surge_z,0.0908,wide,True
