test,sub_months,n_subs,min_sub_trades,inc_recent3,kill_recent3,d_recent3
grid,4.0,16.0,8.0,-0.29544229999032606,1.0269385037166237,1.3223808037069498
grid,6.0,11.0,8.0,1.8643060798305975,2.6492988668780995,0.784992787047502
grid,9.0,7.0,8.0,0.7843582530488572,0.8172834448986229,0.03292519184976572
thin_floor,6.0,11.0,8.0,1.8643060798305975,2.6492988668780995,0.784992787047502
thin_floor,6.0,11.0,25.0,1.521715631557275,1.5267646692016204,0.005049037644345278
thin_floor,6.0,11.0,50.0,1.521715631557275,1.5267646692016204,0.005049037644345278
last_is_year,,,,0.4551333774627422,0.31357649737528004,-0.14155688008746214
last_is_year_removed,,84.0,,2.3214286082152187,0.8052329354122358,
