sub,inc_sharpe,inc_n,kill_sharpe,kill_n,d_sharpe,n_removed,removed_sharpe,removed_mean_pnl_pct
20-01,,0,,0,,0,,
20-07,3.810134926819337,306,2.9116754904634337,208,-0.8984594363559033,98,9.81241477897366,14.227374217134594
20-12,0.8097561664915843,369,1.1987663620171247,315,0.3890101955255404,54,-1.0651485507028802,-2.9015419017366857
21-07,-0.22400065729868024,349,-0.2302531460228811,347,-0.006252488724200866,2,,2.0130926914072496
21-12,1.594969206407148,306,2.2623369077784194,220,0.6673677013712715,86,-0.597612134507363,-1.3370098185472543
22-07,-3.8699221378686377,221,-3.838097515732678,210,0.03182462213595949,11,-4.880983745709881,-3.5904836307915104
22-12,-0.7568325955276083,326,-0.8728405194854574,239,-0.11600792395784909,87,-0.3811502455085408,-0.5969443885963647
23-07,2.1568441485843772,363,1.9494251293861926,299,-0.20741901919818462,64,3.2731369482564032,3.2344786495207294
23-12,1.2015815582465827,234,1.179705630953943,173,-0.021875927292639652,61,1.3833932662579738,2.273902932138341
24-06,1.2067211878408652,260,1.4511632472647253,182,0.2444420594238601,78,0.8403332706744778,2.5044875353947074
24-12,3.1846154934043454,21,5.317027722415629,16,2.1324122290112837,5,,-1.1804302063113346
