candidate,column,mode,cut_q,kill_pct,retained_trades,full,frac_pos,dispersion,worst,recent1,recent2,recent3,d_recent3,win_rate,incumbent_recent3,incumbent_frac_pos,incumbent_full
RVOL: high realized-vol NATR z-state,vol_state_z_natr_30,high,0.7,30.6,1912,0.8769,0.7,2.3637,-3.8725,5.133,3.109,2.484,0.62,0.5209,1.864,0.7,1.0021
RVOL: high realized-vol NATR z-state,vol_state_z_natr_30,high,0.75,25.41,2055,0.8908,0.7,2.3818,-3.8544,5.133,3.197,2.581,0.717,0.5197,1.864,0.7,1.0021
RVOL: high realized-vol NATR z-state,vol_state_z_natr_30,high,0.8,19.82,2209,0.9414,0.7,2.4339,-3.8381,5.317,3.384,2.649,0.785,0.526,1.864,0.7,1.0021
RVOL: high realized-vol NATR z-state,vol_state_z_natr_30,high,0.85,14.74,2349,0.9707,0.7,2.1301,-3.796,3.271,2.383,1.981,0.117,0.5292,1.864,0.7,1.0021
RVOL: high realized-vol NATR z-state,vol_state_z_natr_30,high,0.9,9.73,2487,0.9829,0.7,2.2005,-3.8782,3.271,2.419,2.02,0.156,0.5328,1.864,0.7,1.0021
RVOL: high realized-vol NATR z-state,vol_state_z_natr_30,high,0.95,4.94,2619,0.9949,0.7,2.2011,-3.8881,3.185,2.278,1.902,0.038,0.5388,1.864,0.7,1.0021
RVOL: high NATR-7,vol_natr_7,high,0.7,23.52,2107,0.843,0.6,2.4604,-3.6934,3.009,2.223,1.945,0.081,0.5278,1.864,0.7,1.0021
RVOL: high NATR-7,vol_natr_7,high,0.75,20.65,2186,0.8578,0.6,2.382,-3.729,3.009,2.159,1.903,0.039,0.5284,1.864,0.7,1.0021
RVOL: high NATR-7,vol_natr_7,high,0.8,17.6,2270,0.8807,0.6,2.3521,-3.8065,3.563,2.413,2.056,0.192,0.5291,1.864,0.7,1.0021
RVOL: high NATR-7,vol_natr_7,high,0.85,13.65,2379,0.9184,0.6,2.2056,-3.8487,3.364,2.307,1.955,0.091,0.5322,1.864,0.7,1.0021
RVOL: high NATR-7,vol_natr_7,high,0.9,8.89,2510,1.0037,0.7,2.2164,-3.8881,3.48,2.354,1.982,0.118,0.541,1.864,0.7,1.0021
RVOL: high NATR-7,vol_natr_7,high,0.95,4.75,2624,1.036,0.7,2.1825,-3.8881,3.185,2.204,1.875,0.011,0.548,1.864,0.7,1.0021
RVOL: high range-spike-24,vol_range_spike_24,high,0.7,31.51,1887,0.9202,0.7,1.9341,-3.6192,1.98,1.464,1.418,-0.446,0.5384,1.864,0.7,1.0021
RVOL: high range-spike-24,vol_range_spike_24,high,0.75,26.5,2025,0.9622,0.7,2.0133,-3.6403,2.31,1.65,1.523,-0.341,0.5407,1.864,0.7,1.0021
RVOL: high range-spike-24,vol_range_spike_24,high,0.8,20.62,2187,0.9894,0.7,2.0076,-3.6079,2.475,1.827,1.646,-0.218,0.5432,1.864,0.7,1.0021
RVOL: high range-spike-24,vol_range_spike_24,high,0.85,15.32,2333,1.01,0.7,2.0571,-3.725,2.2,1.73,1.566,-0.298,0.5456,1.864,0.7,1.0021
RVOL: high range-spike-24,vol_range_spike_24,high,0.9,10.34,2470,0.9656,0.7,2.0722,-3.7856,2.2,1.751,1.549,-0.315,0.5433,1.864,0.7,1.0021
RVOL: high range-spike-24,vol_range_spike_24,high,0.95,5.15,2613,0.9712,0.7,2.1287,-3.8508,2.603,1.968,1.676,-0.188,0.5465,1.864,0.7,1.0021
RVOL: high range-spike-72,vol_range_spike_72,high,0.7,29.95,1930,0.8023,0.7,2.1373,-3.7014,3.853,2.623,2.033,0.169,0.5202,1.864,0.7,1.0021
RVOL: high range-spike-72,vol_range_spike_72,high,0.75,25.52,2052,0.831,0.7,2.1796,-3.7759,3.853,2.618,2.061,0.197,0.5258,1.864,0.7,1.0021
RVOL: high range-spike-72,vol_range_spike_72,high,0.8,20.44,2192,0.8616,0.7,2.2229,-3.8527,3.853,2.523,2.032,0.168,0.5328,1.864,0.7,1.0021
RVOL: high range-spike-72,vol_range_spike_72,high,0.85,15.86,2318,0.8877,0.7,2.0922,-3.8526,2.475,1.87,1.671,-0.193,0.5341,1.864,0.7,1.0021
RVOL: high range-spike-72,vol_range_spike_72,high,0.9,10.49,2466,0.9322,0.7,2.1553,-3.8741,2.834,2.06,1.766,-0.098,0.5385,1.864,0.7,1.0021
RVOL: high range-spike-72,vol_range_spike_72,high,0.95,5.34,2608,0.9676,0.7,2.1881,-3.8701,3.094,2.2,1.87,0.006,0.5437,1.864,0.7,1.0021
FUND: extreme |funding z30| (crowding),funding_rate_zscore_30,abs_high,0.7,28.42,1972,1.1875,0.8,2.2548,-3.6305,4.386,2.901,2.361,0.497,0.5583,1.864,0.7,1.0021
FUND: extreme |funding z30| (crowding),funding_rate_zscore_30,abs_high,0.75,24.9,2069,1.1045,0.8,2.2376,-3.7155,3.976,2.695,2.207,0.343,0.5529,1.864,0.7,1.0021
FUND: extreme |funding z30| (crowding),funding_rate_zscore_30,abs_high,0.8,20.73,2184,1.0376,0.8,2.0909,-3.792,2.656,2.026,1.699,-0.165,0.5476,1.864,0.7,1.0021
FUND: extreme |funding z30| (crowding),funding_rate_zscore_30,abs_high,0.85,16.01,2314,0.9934,0.7,2.0859,-3.8565,2.787,2.102,1.69,-0.174,0.5432,1.864,0.7,1.0021
FUND: extreme |funding z30| (crowding),funding_rate_zscore_30,abs_high,0.9,10.45,2467,0.9498,0.7,2.1376,-3.8895,3.185,2.273,1.784,-0.08,0.5379,1.864,0.7,1.0021
FUND: extreme |funding z30| (crowding),funding_rate_zscore_30,abs_high,0.95,5.66,2599,0.9273,0.7,2.1705,-3.9015,3.185,2.225,1.784,-0.08,0.5375,1.864,0.7,1.0021
FUND: extreme |funding z90| (crowding),funding_rate_zscore_90,abs_high,0.7,32.05,1872,1.1852,0.8,1.9672,-3.518,2.895,2.152,1.671,-0.193,0.5465,1.864,0.7,1.0021
FUND: extreme |funding z90| (crowding),funding_rate_zscore_90,abs_high,0.75,28.17,1979,1.127,0.7,2.0073,-3.4521,3.246,2.338,1.758,-0.106,0.5478,1.864,0.7,1.0021
FUND: extreme |funding z90| (crowding),funding_rate_zscore_90,abs_high,0.8,24.14,2090,1.0727,0.7,2.0986,-3.6392,3.489,2.469,1.819,-0.045,0.5431,1.864,0.7,1.0021
FUND: extreme |funding z90| (crowding),funding_rate_zscore_90,abs_high,0.85,19.2,2226,1.0208,0.7,2.0701,-3.8341,2.92,2.161,1.593,-0.271,0.5395,1.864,0.7,1.0021
FUND: extreme |funding z90| (crowding),funding_rate_zscore_90,abs_high,0.9,12.81,2402,0.9966,0.7,2.1459,-3.8841,3.185,2.293,1.736,-0.128,0.5396,1.864,0.7,1.0021
FUND: extreme |funding z90| (crowding),funding_rate_zscore_90,abs_high,0.95,6.79,2568,0.9475,0.7,2.1571,-3.8881,3.185,2.211,1.704,-0.16,0.5386,1.864,0.7,1.0021
FUND: large |funding impulse| (flip),btc_funding_rate_8h_impulse,abs_high,0.7,36.88,1739,1.1195,0.8,2.0922,-3.8318,2.801,2.236,1.647,-0.217,0.563,1.864,0.7,1.0021
