month,pnl_pct,trade_count,adx_dom,vol_dom,dir_dom,btc_dom,adx_med_month,rv_med_month,win
2022-01,14.0415,4,TREND,LOVOL,DOWN,BTC_DOWN,33.64596835931741,0.019273456706173444,True
2022-02,0.2213,5,TREND,HIVOL,UP,BTC_UP,25.455238897937836,0.032020955406575756,True
2022-03,-5.7123,7,CHOP,HIVOL,UP,BTC_FLAT,17.695309944001878,0.024677549820925022,False
2022-04,7.7752,7,TREND,LOVOL,DOWN,BTC_DOWN,33.591241213415934,0.020232815131828494,True
2022-05,9.0263,6,TREND,HIVOL,DOWN,BTC_DOWN,39.76017655273592,0.026425898105632895,True
2022-06,0.8051,6,CHOP,HIVOL,DOWN,BTC_DOWN,22.5167733594909,0.028134604768326833,True
2022-07,-9.2848,9,CHOP,HIVOL,UP,BTC_FLAT,19.758776957125413,0.023022173241504743,False
2022-08,-2.9346,5,CHOP,LOVOL,DOWN,BTC_FLAT,21.893393846241366,0.018398352120145685,False
2022-09,-2.6534,7,CHOP,LOVOL,UP,BTC_FLAT,25.164802830304108,0.019852245888868216,False
2022-10,-1.9076,8,CHOP,HIVOL,DOWN,BTC_FLAT,23.815479882002936,0.022364415589463407,False
2022-11,-2.2905,5,CHOP,HIVOL,UP,BTC_DOWN,23.08439917075424,0.027006129689573014,False
2022-12,4.5973,5,CHOP,LOVOL,DOWN,BTC_FLAT,19.32547577236452,0.014074557279738798,True
2023-01,-4.3422,6,CHOP,LOVOL,UP,BTC_UP,21.922118461289678,0.015868814094351463,False
2023-02,3.5334,5,CHOP,LOVOL,DOWN,BTC_FLAT,15.259160671167592,0.014816811521010175,True
2023-03,1.6423,7,TREND,HIVOL,UP,BTC_UP,28.51079923797307,0.021706666003231106,True
2023-04,-0.5899,6,TREND,LOVOL,DOWN,BTC_FLAT,26.26763057610698,0.01669437551625781,False
2023-05,-1.7105,8,TREND,LOVOL,UP,BTC_FLAT,29.265568275077733,0.012900279994261495,False
2023-06,6.5094,6,CHOP,LOVOL,DOWN,BTC_FLAT,18.910616444703322,0.018514125472888478,True
2023-07,-1.855,5,TREND,LOVOL,DOWN,BTC_FLAT,25.537016355040755,0.018592746575261474,False
2023-08,-4.8123,6,TREND,LOVOL,DOWN,BTC_FLAT,32.02102192503704,0.014554002360678569,False
2023-09,0.0382,5,TREND,LOVOL,DOWN,BTC_FLAT,25.84143787370644,0.010259270088842776,True
2023-10,6.8969,7,TREND,LOVOL,UP,BTC_FLAT,31.584923571150206,0.015879584384387593,True
2023-11,3.0586,5,CHOP,LOVOL,UP,BTC_FLAT,23.650118710329192,0.019471135721980115,True
2023-12,-6.05,8,CHOP,LOVOL,UP,BTC_FLAT,20.442136272355903,0.0132003004632489,False
2024-01,-1.1583,5,TREND,LOVOL,DOWN,BTC_FLAT,37.60458602457097,0.014214634693673298,False
2024-02,-1.9284,6,CHOP,LOVOL,UP,BTC_UP,21.87682347291581,0.01185534111731757,False
2024-03,-9.8684,7,CHOP,HIVOL,UP,BTC_UP,18.03162466853867,0.028038984990263197,False
2024-04,14.1982,5,CHOP,LOVOL,DOWN,BTC_FLAT,24.035610621466468,0.01598260851451295,True
2024-05,8.2871,5,CHOP,LOVOL,UP,BTC_FLAT,18.458023317449918,0.013258139943002496,True
2024-06,1.2338,6,CHOP,LOVOL,DOWN,BTC_FLAT,24.534155673395773,0.011147834029571781,True
2024-07,-3.3407,5,TREND,HIVOL,UP,BTC_UP,35.494647044704934,0.022239792643953333,False
2024-08,0.528,4,CHOP,LOVOL,UP,BTC_FLAT,20.51774350873383,0.02035445012965282,True
2024-09,-2.751,8,TREND,LOVOL,UP,BTC_FLAT,32.289579678607424,0.013713708385473007,False
2024-10,3.1034,5,CHOP,LOVOL,DOWN,BTC_FLAT,25.406898937350718,0.011685416937811086,True
2024-11,0.1709,4,TREND,HIVOL,UP,BTC_UP,45.8134433374272,0.03933642205995822,True
2025-01,-5.8126,4,CHOP,HIVOL,UP,BTC_FLAT,23.329054196341886,0.024585451200796166,False
2025-02,-1.4886,3,TREND,HIVOL,DOWN,BTC_FLAT,33.825280578916335,0.0269020422991511,False
2025-03,12.9566,4,CHOP,HIVOL,DOWN,BTC_FLAT,21.456112860655715,0.032344732407190525,True
