mechanism,thr,state,trades,net_pnl_pct,win_rate,avg_pnl,sharpe_proxy
i_btc_regime,0.05,BTC_UP,64,-20.189,37.5,-0.3155,-0.4087
i_btc_regime,0.05,BTC_DOWN,60,30.205,41.7,0.5034,0.5255
i_btc_regime,0.05,BTC_FLAT,95,28.727,46.3,0.3024,0.4823
i_btc_regime,0.06,BTC_UP,63,-17.3,38.1,-0.2746,-0.3507
i_btc_regime,0.06,BTC_DOWN,49,29.955,42.9,0.6113,0.5707
i_btc_regime,0.06,BTC_FLAT,107,26.087,44.9,0.2438,0.4071
i_btc_regime,0.067,BTC_UP,57,-36.707,35.1,-0.644,-0.7937
i_btc_regime,0.067,BTC_DOWN,44,41.132,45.5,0.9348,0.8144
i_btc_regime,0.067,BTC_FLAT,118,34.317,44.9,0.2908,0.508
i_btc_regime,0.08,BTC_UP,51,-29.639,35.3,-0.5811,-0.6655
i_btc_regime,0.08,BTC_DOWN,40,27.055,42.5,0.6764,0.5479
i_btc_regime,0.08,BTC_FLAT,128,41.326,45.3,0.3229,0.5929
i_btc_regime,0.1,BTC_UP,44,-25.164,36.4,-0.5719,-0.5911
i_btc_regime,0.1,BTC_DOWN,30,-15.56,36.7,-0.5187,-0.3705
i_btc_regime,0.1,BTC_FLAT,145,79.466,45.5,0.548,1.0536
i_btc_regime,0.12,BTC_UP,35,-7.991,40.0,-0.2283,-0.2118
i_btc_regime,0.12,BTC_DOWN,20,-7.271,35.0,-0.3635,-0.1851
i_btc_regime,0.12,BTC_FLAT,164,54.004,43.9,0.3293,0.6772
i_btc_regime,0.15,BTC_UP,27,-11.945,33.3,-0.4424,-0.3373
i_btc_regime,0.15,BTC_DOWN,12,8.037,41.7,0.6698,0.2495
i_btc_regime,0.15,BTC_FLAT,180,42.65,43.9,0.2369,0.5079
