symbol,feature,n,ic,p_value,abs_ic
ATOMUSDT,max_dd_window_50,5295,-0.07439642594843536,5.965915731977253e-08,0.07439642594843536
ATOMUSDT,ema_spread_atr_20,5295,0.015121766770888358,0.2712602643460775,0.015121766770888358
ATOMUSDT,ret_kurt_50,5295,-0.046586262753353404,0.0006964530600553814,0.046586262753353404
ATOMUSDT,ret_skew_200,5295,-0.015066462782874684,0.27301711448051297,0.015066462782874684
ATOMUSDT,range_realized_vol_50,5295,0.022967452336151745,0.09470336713144326,0.022967452336151745
ATOMUSDT,hurst_diff_100_50,5295,0.06428193590358344,2.850264334154785e-06,0.06428193590358344
ATOMUSDT,ret_kurt_200,5295,-0.04058537930033356,0.0031390172779391487,0.04058537930033356
ATOMUSDT,hurst_100,5295,0.035067270274080416,0.010713305789375316,0.035067270274080416
ATOMUSDT,btc_ret_14d,5295,0.025261632747134395,0.06605264587858047,0.025261632747134395
ATOMUSDT,ret_skew_50,5295,0.0037507859310335983,0.7849538972199149,0.0037507859310335983
ATOMUSDT,vwap_dev_20,5295,0.033869818707523494,0.013711963945632491,0.033869818707523494
ATOMUSDT,ret_autocorr_lag1_50,5295,-0.03847607985411159,0.005107805888573855,0.03847607985411159
ATOMUSDT,sym_vs_btc_ret_7d,5295,0.008718259598368002,0.5259100504890684,0.008718259598368002
ATOMUSDT,regime_momentum_signed_5d,5295,3.1659529393178054e-05,0.9981623002049941,3.1659529393178054e-05
RUNEUSDT,max_dd_window_50,4741,-0.014168651165650201,0.3293752485274848,0.014168651165650201
RUNEUSDT,ema_spread_atr_20,4741,0.013545536004796849,0.3510918053045404,0.013545536004796849
RUNEUSDT,ret_kurt_50,4741,0.0005993107583965122,0.9670929128566779,0.0005993107583965122
RUNEUSDT,ret_skew_200,4741,-0.011414726044959017,0.4319973254462969,0.011414726044959017
RUNEUSDT,range_realized_vol_50,4741,0.005070083914418693,0.7270814936507749,0.005070083914418693
RUNEUSDT,hurst_diff_100_50,4741,-0.035052642128013345,0.015793533351737426,0.035052642128013345
RUNEUSDT,ret_kurt_200,4741,-0.007679098690737614,0.5970745685146845,0.007679098690737614
RUNEUSDT,hurst_100,4741,0.009911375791640569,0.49505952135170106,0.009911375791640569
RUNEUSDT,btc_ret_14d,4741,0.010218068408026,0.4818083003233324,0.010218068408026
RUNEUSDT,ret_skew_50,4741,0.05265326332575365,0.0002867375544208487,0.05265326332575365
RUNEUSDT,vwap_dev_20,4741,0.028185607878529535,0.05230784123470718,0.028185607878529535
RUNEUSDT,ret_autocorr_lag1_50,4741,-0.012517117434163954,0.3888682538796819,0.012517117434163954
RUNEUSDT,sym_vs_btc_ret_7d,4741,-0.0029320730603849357,0.8400458327005267,0.0029320730603849357
RUNEUSDT,regime_momentum_signed_5d,4741,0.0008087913095074978,0.9556010460838577,0.0008087913095074978
