symbol,first_bar_utc,last_bar_utc,total_bars,IS_bars,OOS_bars,IS_months
ATOMUSDT,2020-02-07,2026-05-20,6883,5615,1268,62
RUNEUSDT,2020-09-04,2026-05-20,6254,4986,1268,55
AVAXUSDT,2020-09-23,2026-05-17,6187,4929,1258,55
HBARUSDT,2021-03-17,2026-05-17,5647,4389,1258,49
ICPUSDT,2021-05-11,2026-05-17,5419,4161,1258,47
ALGOUSDT,2020-06-16,2026-05-17,6483,5225,1258,58
