symbol,ic_mean_abs,ic_max_abs,n_significant_p_lt_05
ALGOUSDT,0.03281560913084531,0.07129230390426855,7
ATOMUSDT,0.0302986566026618,0.07439642594843536,7
AVAXUSDT,0.045986786998363116,0.0935167797908493,10
HBARUSDT,0.039798620120116826,0.08016005610877026,8
ICPUSDT,0.036574117096338225,0.07585720847674424,6
RUNEUSDT,0.014625453279641312,0.05265326332575365,2
