symbol,slice,feature,importance,rank
RUNEUSDT,slice_2025Q1,ret_autocorr_lag1_50,48.0,6
RUNEUSDT,slice_2025Q1,sym_vs_btc_ret_7d,13.0,14
RUNEUSDT,slice_2025Q1,regime_momentum_signed_5d,26.0,9
AVAXUSDT,slice_2023Q1,max_dd_window_50,99.0,1
AVAXUSDT,slice_2023Q1,ema_spread_atr_20,43.0,7
AVAXUSDT,slice_2023Q1,ret_kurt_50,37.0,9
AVAXUSDT,slice_2023Q1,ret_skew_200,67.0,2
AVAXUSDT,slice_2023Q1,range_realized_vol_50,63.0,4
AVAXUSDT,slice_2023Q1,hurst_diff_100_50,30.0,10
AVAXUSDT,slice_2023Q1,ret_kurt_200,64.0,3
AVAXUSDT,slice_2023Q1,hurst_100,10.0,13
AVAXUSDT,slice_2023Q1,btc_ret_14d,45.0,6
AVAXUSDT,slice_2023Q1,ret_skew_50,54.0,5
AVAXUSDT,slice_2023Q1,vwap_dev_20,40.0,8
AVAXUSDT,slice_2023Q1,ret_autocorr_lag1_50,30.0,10
AVAXUSDT,slice_2023Q1,sym_vs_btc_ret_7d,10.0,13
AVAXUSDT,slice_2023Q1,regime_momentum_signed_5d,18.0,12
AVAXUSDT,slice_2024Q1,max_dd_window_50,81.0,1
AVAXUSDT,slice_2024Q1,ema_spread_atr_20,54.0,5
AVAXUSDT,slice_2024Q1,ret_kurt_50,72.0,4
AVAXUSDT,slice_2024Q1,ret_skew_200,43.0,6
AVAXUSDT,slice_2024Q1,range_realized_vol_50,79.0,2
AVAXUSDT,slice_2024Q1,hurst_diff_100_50,34.0,9
AVAXUSDT,slice_2024Q1,ret_kurt_200,75.0,3
AVAXUSDT,slice_2024Q1,hurst_100,10.0,14
AVAXUSDT,slice_2024Q1,btc_ret_14d,35.0,8
AVAXUSDT,slice_2024Q1,ret_skew_50,22.0,12
AVAXUSDT,slice_2024Q1,vwap_dev_20,39.0,7
AVAXUSDT,slice_2024Q1,ret_autocorr_lag1_50,30.0,10
AVAXUSDT,slice_2024Q1,sym_vs_btc_ret_7d,27.0,11
AVAXUSDT,slice_2024Q1,regime_momentum_signed_5d,19.0,13
AVAXUSDT,slice_2025Q1,max_dd_window_50,61.0,3
AVAXUSDT,slice_2025Q1,ema_spread_atr_20,38.0,9
AVAXUSDT,slice_2025Q1,ret_kurt_50,59.0,5
AVAXUSDT,slice_2025Q1,ret_skew_200,70.0,2
AVAXUSDT,slice_2025Q1,range_realized_vol_50,77.0,1
AVAXUSDT,slice_2025Q1,hurst_diff_100_50,40.0,8
AVAXUSDT,slice_2025Q1,ret_kurt_200,61.0,3
AVAXUSDT,slice_2025Q1,hurst_100,16.0,14
AVAXUSDT,slice_2025Q1,btc_ret_14d,42.0,7
AVAXUSDT,slice_2025Q1,ret_skew_50,56.0,6
AVAXUSDT,slice_2025Q1,vwap_dev_20,31.0,11
AVAXUSDT,slice_2025Q1,ret_autocorr_lag1_50,32.0,10
AVAXUSDT,slice_2025Q1,sym_vs_btc_ret_7d,25.0,12
AVAXUSDT,slice_2025Q1,regime_momentum_signed_5d,17.0,13
HBARUSDT,slice_2023Q1,max_dd_window_50,61.0,3
HBARUSDT,slice_2023Q1,ema_spread_atr_20,37.0,8
HBARUSDT,slice_2023Q1,ret_kurt_50,48.0,4
HBARUSDT,slice_2023Q1,ret_skew_200,46.0,6
HBARUSDT,slice_2023Q1,range_realized_vol_50,73.0,1
HBARUSDT,slice_2023Q1,hurst_diff_100_50,20.0,12
HBARUSDT,slice_2023Q1,ret_kurt_200,47.0,5
HBARUSDT,slice_2023Q1,hurst_100,13.0,14
HBARUSDT,slice_2023Q1,btc_ret_14d,31.0,9
HBARUSDT,slice_2023Q1,ret_skew_50,63.0,2
HBARUSDT,slice_2023Q1,vwap_dev_20,21.0,10
HBARUSDT,slice_2023Q1,ret_autocorr_lag1_50,21.0,10
HBARUSDT,slice_2023Q1,sym_vs_btc_ret_7d,40.0,7
HBARUSDT,slice_2023Q1,regime_momentum_signed_5d,19.0,13
HBARUSDT,slice_2024Q1,max_dd_window_50,74.0,1
HBARUSDT,slice_2024Q1,ema_spread_atr_20,31.0,9
HBARUSDT,slice_2024Q1,ret_kurt_50,30.0,10
HBARUSDT,slice_2024Q1,ret_skew_200,71.0,3
HBARUSDT,slice_2024Q1,range_realized_vol_50,43.0,5
HBARUSDT,slice_2024Q1,hurst_diff_100_50,32.0,8
HBARUSDT,slice_2024Q1,ret_kurt_200,43.0,5
HBARUSDT,slice_2024Q1,hurst_100,10.0,14
HBARUSDT,slice_2024Q1,btc_ret_14d,25.0,11
HBARUSDT,slice_2024Q1,ret_skew_50,53.0,4
HBARUSDT,slice_2024Q1,vwap_dev_20,17.0,12
HBARUSDT,slice_2024Q1,ret_autocorr_lag1_50,73.0,2
HBARUSDT,slice_2024Q1,sym_vs_btc_ret_7d,33.0,7
HBARUSDT,slice_2024Q1,regime_momentum_signed_5d,12.0,13
HBARUSDT,slice_2025Q1,max_dd_window_50,72.0,2
HBARUSDT,slice_2025Q1,ema_spread_atr_20,25.0,11
HBARUSDT,slice_2025Q1,ret_kurt_50,36.0,5
HBARUSDT,slice_2025Q1,ret_skew_200,83.0,1
HBARUSDT,slice_2025Q1,range_realized_vol_50,69.0,3
HBARUSDT,slice_2025Q1,hurst_diff_100_50,24.0,12
HBARUSDT,slice_2025Q1,ret_kurt_200,57.0,4
HBARUSDT,slice_2025Q1,hurst_100,30.0,6
HBARUSDT,slice_2025Q1,btc_ret_14d,28.0,9
HBARUSDT,slice_2025Q1,ret_skew_50,29.0,7
HBARUSDT,slice_2025Q1,vwap_dev_20,27.0,10
HBARUSDT,slice_2025Q1,ret_autocorr_lag1_50,29.0,7
HBARUSDT,slice_2025Q1,sym_vs_btc_ret_7d,23.0,13
HBARUSDT,slice_2025Q1,regime_momentum_signed_5d,18.0,14
ICPUSDT,slice_2023Q1,max_dd_window_50,70.0,2
ICPUSDT,slice_2023Q1,ema_spread_atr_20,45.0,7
ICPUSDT,slice_2023Q1,ret_kurt_50,53.0,4
ICPUSDT,slice_2023Q1,ret_skew_200,50.0,5
ICPUSDT,slice_2023Q1,range_realized_vol_50,80.0,1
ICPUSDT,slice_2023Q1,hurst_diff_100_50,29.0,12
ICPUSDT,slice_2023Q1,ret_kurt_200,33.0,11
ICPUSDT,slice_2023Q1,hurst_100,42.0,8
ICPUSDT,slice_2023Q1,btc_ret_14d,41.0,9
ICPUSDT,slice_2023Q1,ret_skew_50,67.0,3
ICPUSDT,slice_2023Q1,vwap_dev_20,46.0,6
ICPUSDT,slice_2023Q1,ret_autocorr_lag1_50,39.0,10
ICPUSDT,slice_2023Q1,sym_vs_btc_ret_7d,14.0,14
ICPUSDT,slice_2023Q1,regime_momentum_signed_5d,25.0,13
ICPUSDT,slice_2024Q1,max_dd_window_50,37.0,9
ICPUSDT,slice_2024Q1,ema_spread_atr_20,63.0,5
ICPUSDT,slice_2024Q1,ret_kurt_50,23.0,12
ICPUSDT,slice_2024Q1,ret_skew_200,69.0,3
ICPUSDT,slice_2024Q1,range_realized_vol_50,85.0,1
ICPUSDT,slice_2024Q1,hurst_diff_100_50,27.0,10
ICPUSDT,slice_2024Q1,ret_kurt_200,85.0,1
ICPUSDT,slice_2024Q1,hurst_100,66.0,4
ICPUSDT,slice_2024Q1,btc_ret_14d,41.0,7
ICPUSDT,slice_2024Q1,ret_skew_50,59.0,6
ICPUSDT,slice_2024Q1,vwap_dev_20,20.0,13
ICPUSDT,slice_2024Q1,ret_autocorr_lag1_50,38.0,8
ICPUSDT,slice_2024Q1,sym_vs_btc_ret_7d,13.0,14
ICPUSDT,slice_2024Q1,regime_momentum_signed_5d,25.0,11
ICPUSDT,slice_2025Q1,max_dd_window_50,65.0,3
ICPUSDT,slice_2025Q1,ema_spread_atr_20,33.0,10
ICPUSDT,slice_2025Q1,ret_kurt_50,49.0,5
ICPUSDT,slice_2025Q1,ret_skew_200,39.0,8
ICPUSDT,slice_2025Q1,range_realized_vol_50,68.0,2
ICPUSDT,slice_2025Q1,hurst_diff_100_50,42.0,7
ICPUSDT,slice_2025Q1,ret_kurt_200,46.0,6
ICPUSDT,slice_2025Q1,hurst_100,76.0,1
ICPUSDT,slice_2025Q1,btc_ret_14d,32.0,11
ICPUSDT,slice_2025Q1,ret_skew_50,65.0,3
ICPUSDT,slice_2025Q1,vwap_dev_20,30.0,12
ICPUSDT,slice_2025Q1,ret_autocorr_lag1_50,20.0,13
ICPUSDT,slice_2025Q1,sym_vs_btc_ret_7d,34.0,9
ICPUSDT,slice_2025Q1,regime_momentum_signed_5d,17.0,14
ALGOUSDT,slice_2023Q1,max_dd_window_50,42.0,7
ALGOUSDT,slice_2023Q1,ema_spread_atr_20,67.0,2
ALGOUSDT,slice_2023Q1,ret_kurt_50,61.0,3
ALGOUSDT,slice_2023Q1,ret_skew_200,44.0,5
ALGOUSDT,slice_2023Q1,range_realized_vol_50,51.0,4
ALGOUSDT,slice_2023Q1,hurst_diff_100_50,33.0,11
ALGOUSDT,slice_2023Q1,ret_kurt_200,89.0,1
ALGOUSDT,slice_2023Q1,hurst_100,38.0,8
ALGOUSDT,slice_2023Q1,btc_ret_14d,38.0,8
ALGOUSDT,slice_2023Q1,ret_skew_50,43.0,6
ALGOUSDT,slice_2023Q1,vwap_dev_20,35.0,10
ALGOUSDT,slice_2023Q1,ret_autocorr_lag1_50,26.0,13
ALGOUSDT,slice_2023Q1,sym_vs_btc_ret_7d,27.0,12
ALGOUSDT,slice_2023Q1,regime_momentum_signed_5d,20.0,14
ALGOUSDT,slice_2024Q1,max_dd_window_50,65.0,2
ALGOUSDT,slice_2024Q1,ema_spread_atr_20,27.0,11
ALGOUSDT,slice_2024Q1,ret_kurt_50,55.0,4
