symbol,n_obs,adf_stat,p_value,stationary
ATOMUSDT,5614,-19.264472210015935,0.0,True
RUNEUSDT,4985,-30.426815728427094,0.0,True
AVAXUSDT,4928,-22.569365750983057,0.0,True
HBARUSDT,4388,-30.83919053553066,0.0,True
ICPUSDT,4160,-11.901581632227485,5.559014881246792e-22,True
ALGOUSDT,5224,-12.422131958030324,4.1145599214309833e-23,True
