date,pnl_pct,trade_count
2025-04-18,-2.3373,1
2025-04-22,-2.7046,1
2025-05-08,-2.9247,1
2025-05-17,-0.5569,1
2025-05-18,-2.4351,1
2025-05-21,-1.0862,1
2025-06-01,1.0113,1
2025-07-02,-2.0320,1
2025-07-10,1.9719,1
2025-07-14,-2.6105,1
2025-07-24,-0.2035,1
2025-07-30,-2.1952,1
2025-08-10,1.1148,1
2025-09-02,-0.1491,1
2025-09-05,-2.8080,1
2025-09-22,-1.9200,1
2025-10-10,5.4094,1
2025-11-04,6.4299,1
2025-11-17,-4.7668,1
2025-11-20,-4.8299,1
2025-12-12,-0.5812,1
2025-12-20,2.1662,1
2025-12-29,-0.6108,1
2026-01-05,-2.2910,1
2026-01-13,-2.6622,1
2026-01-29,2.1027,1
2026-02-19,1.0093,1
2026-02-23,-3.4130,1
2026-03-04,-4.5706,1
2026-03-12,1.7557,1
2026-03-16,-1.4033,1
2026-03-21,2.3507,1
2026-03-29,2.6411,1
2026-04-01,-1.2188,1
2026-04-06,-1.3689,1
2026-04-13,-1.2755,1
2026-04-17,-1.1879,1
2026-04-22,-1.1044,1
2026-04-30,0.7701,1
2026-05-06,1.7608,1
2026-05-14,0.5389,1
2026-05-17,-0.9964,1
2026-05-23,-0.9023,1
2026-05-27,-0.9022,1
2026-06-01,-0.3986,1
