design,name,win_rate,profit_factor,monthly_sharpe,total_wpnl,n_tp,n_stop,n_timeout
S,STATIC (incumbent),41.5,1.478,1.2143,92.37,56,100,15
A,BE@1.0,28.1,1.289,0.8747,63.04,43,123,5
B,BE@0.75,24.6,1.276,0.8623,62.8,37,129,5
C,TRAIL@1.0/1.0,48.5,1.302,0.8647,58.99,37,133,1
D,TRAIL@1.25/0.75,48.5,1.333,0.804,60.77,32,135,4
E,BE1.0+TRAIL1.5/1.0,35.1,1.339,0.8429,60.05,40,129,2
