symbol,static_sharpe,cf_sharpe,static_wpnl,cf_wpnl
BCHUSDT,1.5203,0.9544,85.52,54.76
LDOUSDT,1.6231,2.0969,12.01,14.21
TRXUSDT,-0.199,-0.2476,-5.17,-5.93
