symbol,direction,exit_reason,net_pnl_pct,is_winner,atr_entry,mfe_atr,mae_atr,n_bars
BCHUSDT,-1,stop_loss,-3.2156,False,9.447726999999986,2.819725845168899,1.1992302487148496,1
TRXUSDT,-1,stop_loss,-1.7672,False,0.00135600000000001,1.9247787610619336,9.402654867256565,21
BCHUSDT,-1,stop_loss,-3.2647,False,4.256885000000011,1.818230936471146,1.2473909912999737,17
BCHUSDT,-1,stop_loss,-2.587,False,2.908305999999996,1.7776671368143546,1.0796663074655848,2
TRXUSDT,-1,stop_loss,-2.4175,False,0.0042029999999999845,1.7416131334760998,2.112776588151328,6
BCHUSDT,-1,stop_loss,-3.2855,False,7.319314999999989,1.7337688021351747,1.355318086460277,17
TRXUSDT,-1,stop_loss,-1.3987,False,0.0012189999999999979,1.6242821985233904,1.1156685808039397,13
TRXUSDT,-1,stop_loss,-1.2138,False,0.001015000000000002,1.4679802955664911,3.1034482758620627,10
TRXUSDT,1,stop_loss,-1.9275,False,0.0018930000000000058,1.4632857897517095,1.2995245641838333,7
TRXUSDT,1,stop_loss,-1.4539,False,0.0013159999999999977,1.4285714285714255,1.117021276595746,11
BCHUSDT,-1,stop_loss,-3.0445,False,7.023717000000005,1.4137813354381976,2.387624672235513,11
TRXUSDT,1,stop_loss,-1.4737,False,0.0018669999999999798,1.3497589716122238,1.3979646491698068,15
TRXUSDT,1,stop_loss,-2.1637,False,0.0021100000000000008,1.34597156398104,1.2464454976303347,20
BCHUSDT,-1,stop_loss,-1.9569,False,2.0369929999999954,1.325483199991364,3.8291736888639356,1
TRXUSDT,-1,stop_loss,-2.3552,False,0.0014249999999999957,1.3122807017543876,1.7754385964912365,11
TRXUSDT,-1,stop_loss,-3.4944,False,0.002033,1.2247909493359597,1.3477619281849447,16
TRXUSDT,-1,stop_loss,-2.2441,False,0.0013749999999999873,1.185454545454561,1.3381818181818264,7
TRXUSDT,-1,stop_loss,-2.36,False,0.0016140000000000043,1.177199504337047,1.0594795539033448,2
LDOUSDT,-1,stop_loss,-5.0184,False,0.05258700000000016,1.1599825051818844,1.9187251602106923,20
BCHUSDT,1,stop_loss,-3.3696,False,4.410624000000013,1.0316000638458345,1.2877996401416194,4
BCHUSDT,-1,stop_loss,-3.2799,False,6.627192000000008,1.026075598835823,1.14226357105694,14
BCHUSDT,1,stop_loss,-3.426,False,4.445849999999979,1.0211770527570752,3.218732075980984,15
TRXUSDT,-1,stop_loss,-1.5723,False,0.0017310000000000103,0.958983246678212,1.3980358174465575,9
LDOUSDT,-1,stop_loss,-4.2556,False,0.052531000000000105,0.949915288115588,1.627610363404461,4
BCHUSDT,-1,stop_loss,-3.5706,False,12.581467000000032,0.9307340709950557,1.156462914857224,14
BCHUSDT,-1,stop_loss,-2.8781,False,9.634440999999981,0.8905550410241757,1.1022954004285277,2
TRXUSDT,-1,stop_loss,-2.9505,False,0.005636000000000002,0.841022001419445,1.3129879347054676,8
BCHUSDT,-1,stop_loss,-3.489,False,12.634751999999992,0.8381644530893825,1.0320740763253626,3
BCHUSDT,-1,stop_loss,-2.8867,False,3.823358000000013,0.7846505611036135,1.035738740656772,3
BCHUSDT,-1,stop_loss,-4.9048,False,5.663843,0.7556706638937557,1.680837551464617,6
BCHUSDT,1,stop_loss,-5.461,False,12.536699999999996,0.7521915655635063,1.0648735313120676,13
TRXUSDT,1,stop_loss,-1.4478,False,0.001349000000000003,0.7412898443291317,2.0607857672349774,2
BCHUSDT,-1,stop_loss,-3.5062,False,4.363287000000014,0.6875550473759784,1.4782433518583573,3
BCHUSDT,-1,stop_loss,-4.5239,False,5.381248999999997,0.6764228899275991,1.2729386802208953,2
TRXUSDT,1,stop_loss,-1.5875,False,0.0018940000000000068,0.6758183738120374,5.575501583949293,3
TRXUSDT,-1,stop_loss,-2.6144,False,0.0015119999999999995,0.6679894179894162,1.7791005291005284,3
TRXUSDT,-1,stop_loss,-1.1941,False,0.0015010000000000023,0.6395736175882845,1.40572951365756,4
LDOUSDT,-1,stop_loss,-6.2311,False,0.08944099999999988,0.6339374559765686,1.1158193669569887,1
BCHUSDT,-1,stop_loss,-2.9345,False,7.561550000000011,0.6004060014150481,1.3740569063221202,8
TRXUSDT,-1,stop_loss,-1.7122,False,0.0011130000000000029,0.5929919137466237,1.1949685534591146,8
TRXUSDT,-1,stop_loss,-1.7183,False,0.0012520000000000031,0.5910543130990437,1.6214057507987212,3
BCHUSDT,1,stop_loss,-3.3687,False,4.057151000000005,0.5816889733707217,1.158448379170506,8
LDOUSDT,1,stop_loss,-8.4675,False,0.11588200000000004,0.5704078286532854,1.7673150273554135,8
BCHUSDT,-1,stop_loss,-2.9751,False,10.438797000000022,0.5699890514203865,1.5135843718390134,4
TRXUSDT,1,stop_loss,-1.3598,False,0.0017759999999999998,0.5574324324324273,1.3344594594594659,6
BCHUSDT,-1,stop_loss,-4.6831,False,13.637827000000016,0.5536072572265364,1.050020652117084,2
TRXUSDT,-1,stop_loss,-3.246,False,0.0020669999999999994,0.5273343009192037,1.0401548137397192,5
BCHUSDT,1,stop_loss,-4.6185,False,13.09056899999996,0.5232774832018413,1.0625970498303023,9
BCHUSDT,-1,stop_loss,-5.2732,False,22.771612000000005,0.5094061852099017,4.233341056399521,1
TRXUSDT,-1,stop_loss,-1.5077,False,0.0017480000000000134,0.5034324942791677,1.281464530892442,4
TRXUSDT,-1,stop_loss,-1.0738,False,0.0016029999999999933,0.4928259513412453,1.0792264504054827,3
TRXUSDT,1,stop_loss,-1.388,False,0.0016589999999999938,0.4520795660036187,1.5310427968655793,2
TRXUSDT,1,stop_loss,-1.3691,False,0.0010929999999999968,0.4483074107959797,1.2991765782250766,4
BCHUSDT,-1,stop_loss,-3.4392,False,7.153975000000003,0.4333255288144034,1.3139548293081782,2
BCHUSDT,1,stop_loss,-5.2249,False,11.968117000000007,0.39939449121361353,1.0285661478743895,1
TRXUSDT,1,stop_loss,-1.7658,False,0.0024839999999999862,0.39452495974235674,1.1433172302737509,2
BCHUSDT,-1,stop_loss,-2.9264,False,9.44093700000002,0.3844957338450609,1.333554074134803,4
TRXUSDT,-1,stop_loss,-2.4841,False,0.001576000000000008,0.38071065989846853,1.2309644670050681,3
TRXUSDT,1,stop_loss,-2.0096,False,0.0021790000000000004,0.37173015144561955,3.5153740247820093,2
BCHUSDT,-1,stop_loss,-4.4386,False,11.27137399999998,0.35399410932509345,1.034479026248263,4
TRXUSDT,1,stop_loss,-1.4584,False,0.0017340000000000133,0.346020761245666,1.2456747404844328,4
LDOUSDT,-1,stop_loss,-8.7533,False,0.14758199999999988,0.3211773793552069,1.0346790258974683,1
BCHUSDT,1,stop_loss,-3.3752,False,11.029853000000003,0.29918803088309615,1.5394584134530132,1
TRXUSDT,1,stop_loss,-1.4952,False,0.001810000000000006,0.287292817679553,1.4254143646408786,1
BCHUSDT,-1,stop_loss,-3.606,False,12.120535000000018,0.2796906242174938,1.3745267845024993,1
TRXUSDT,1,stop_loss,-1.0605,False,0.001563999999999982,0.2685421994884965,1.1125319693094702,2
BCHUSDT,-1,stop_loss,-3.594,False,7.438654999999983,0.2312245963820076,1.0620199484987574,2
BCHUSDT,1,stop_loss,-3.8096,False,14.736426999999992,0.22325628865124647,1.2662499532620788,4
BCHUSDT,1,stop_loss,-3.9551,False,15.159604000000002,0.21174695592312168,1.414284964171887,1
TRXUSDT,-1,stop_loss,-3.2616,False,0.0019959999999999978,0.2054108216432906,1.142284569138273,7
TRXUSDT,-1,stop_loss,-1.0221,False,0.001477000000000006,0.19634394041975864,1.2999322951929568,1
BCHUSDT,1,stop_loss,-3.0792,False,9.763485000000003,0.19460264444509073,1.8149257155616076,1
TRXUSDT,-1,stop_loss,-3.1635,False,0.002026,0.1875616979269523,1.4461994076999023,1
TRXUSDT,-1,stop_loss,-2.5615,False,0.0017160000000000092,0.18648018648018597,1.2004662004661977,1
TRXUSDT,1,stop_loss,-1.8598,False,0.0018659999999999927,0.18220793140407734,1.6023579849946432,1
TRXUSDT,1,stop_loss,-1.4339,False,0.0011760000000000104,0.17006802721087594,2.4234693877550852,6
BCHUSDT,1,stop_loss,-4.0514,False,5.21036100000002,0.16505574181903745,1.2379180636428055,3
TRXUSDT,1,stop_loss,-1.4845,False,0.0017639999999999878,0.1417233560090714,1.1678004535147508,9
BCHUSDT,1,stop_loss,-3.4137,False,7.751437999999979,0.13029840398646317,1.6280850082268619,2
LDOUSDT,1,stop_loss,-6.3746,False,0.10185,0.12469317623956734,1.2233676975945023,7
BCHUSDT,1,stop_loss,-3.2754,False,14.413876000000016,0.12141078499634644,1.409752657786148,2
BCHUSDT,1,stop_loss,-7.127,False,39.27122099999997,0.11815267979572089,1.3075732990323898,1
TRXUSDT,1,stop_loss,-1.7702,False,0.0017229999999999884,0.11607661056297566,1.990713871154969,2
TRXUSDT,-1,stop_loss,-1.6752,False,0.001906000000000005,0.09968520461699645,1.941238195173137,1
TRXUSDT,1,stop_loss,-1.9541,False,0.0019300000000000012,0.09844559585492,1.61139896373057,5
TRXUSDT,-1,stop_loss,-1.3019,False,0.0011520000000000002,0.09548611111111022,1.2673611111111134,1
TRXUSDT,-1,stop_loss,-1.4327,False,0.0011059999999999959,0.09041591320072626,1.1030741410488276,2
TRXUSDT,-1,stop_loss,-1.9068,False,0.0022010000000000085,0.0863243980009064,1.035892776010902,4
TRXUSDT,-1,stop_loss,-1.0374,False,0.0014889999999999903,0.07387508394895884,1.5043653458697157,1
BCHUSDT,-1,stop_loss,-4.1831,False,12.682969000000014,0.06701900793103112,8.442818081476021,2
TRXUSDT,1,stop_loss,-1.0082,False,0.0015079999999999816,0.03978779840849153,1.6445623342175149,1
BCHUSDT,-1,stop_loss,-3.2055,False,3.771997000000013,0.039766733642680775,1.7948052450730931,1
BCHUSDT,-1,stop_loss,-4.0338,False,10.004719999999992,0.025987733789653238,3.3674105822051987,1
BCHUSDT,-1,stop_loss,-3.8725,False,4.86503399999998,0.02466580911870401,2.0267073159200995,1
TRXUSDT,1,stop_loss,-2.543,False,0.0028800000000000076,0.017361111111109155,1.02083333333333,1
TRXUSDT,1,stop_loss,-1.9804,False,0.0019689999999999985,0.015236160487558287,1.3306246825799894,1
BCHUSDT,1,stop_loss,-3.5622,False,4.5732849999999985,0.008746448122081186,2.1078939974219852,1
TRXUSDT,-1,stop_loss,-2.4662,False,0.001476000000000005,0.006775067750679558,1.3346883468834638,1
TRXUSDT,-1,stop_loss,-2.9305,False,0.005649999999999988,0.0017699115044265525,1.3008849557522142,1
TRXUSDT,-1,stop_loss,-3.9766,False,0.0023009999999999975,-0.699695784441548,1.4428509343763611,1
