split,weight_bucket,weight_range_min,weight_range_max,n_trades,n_wins,n_losses,win_rate,weighted_pnl_sum,unweighted_pnl_sum,weighted_pnl_per_trade
IS,Q1_low,0.35,0.51,13,4,9,0.3076923076923077,-0.016999999999999904,-0.05400000000000027,-0.0013076923076923003
IS,Q2,0.53,0.67,13,5,8,0.38461538461538464,2.4143999999999997,3.926,0.1857230769230769
IS,Q3,0.68,0.82,12,2,10,0.16666666666666666,-6.9554,-10.039100000000001,-0.5796166666666667
IS,Q4,0.83,0.93,13,4,9,0.3076923076923077,-5.9806,-7.0295999999999985,-0.4600461538461538
IS,Q5_high,0.95,1.0,13,5,8,0.38461538461538464,3.1881999999999993,3.013700000000001,0.24524615384615378
OOS,Q1_low,0.33,0.47,10,5,5,0.5,2.5913000000000004,6.125,0.25913
OOS,Q2,0.5,0.67,8,4,4,0.5,0.24489999999999967,0.012500000000000178,0.03061249999999996
OOS,Q3,0.68,0.77,9,2,7,0.2222222222222222,-3.739,-5.2615,-0.41544444444444445
OOS,Q4,0.78,0.91,9,5,4,0.5555555555555556,6.8843,8.1768,0.7649222222222222
OOS,Q5_high,0.93,1.0,9,3,6,0.3333333333333333,-1.8174000000000006,-1.9293999999999998,-0.2019333333333334
