split,outcome,n,mean,std,p10,p25,p50,p75,p90,min,max,frac_below_05,frac_below_04,frac_at_floor_030
IS,wins,20,0.7365,0.2197672213478329,0.417,0.555,0.815,0.92,0.99,0.35,1.0,0.15,0.1,0.0
IS,losses,44,0.7165909090909092,0.20590066674636145,0.393,0.55,0.755,0.89,0.967,0.36,0.99,0.20454545454545456,0.11363636363636363,0.0
IS,zero_killed,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
OOS,wins,19,0.6842105263157896,0.21103753719483925,0.396,0.485,0.71,0.855,0.95,0.36,0.99,0.2631578947368421,0.10526315789473684,0.0
OOS,losses,26,0.7149999999999999,0.20663494380186523,0.42500000000000004,0.5675,0.715,0.91,0.95,0.33,1.0,0.19230769230769232,0.07692307692307693,0.0
OOS,zero_killed,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
