trim,first_rebal_weekday_hour_utc,v0_sharpe,l1_sharpe,l1_minus_v0,v0_maxdd,l1_maxdd
0,Wed@00h,0.9133702662811165,1.16381064872241,0.2504403824412935,-0.32987749091923946,-0.2857586088127241
1,Wed@08h,1.10914757058559,1.5892550420409408,0.4801074714553508,-0.38377011853586684,-0.22721987837307844
2,Wed@16h,0.6991504265605207,1.2008708469269518,0.501720420366431,-0.3148058103234581,-0.31272906157042923
3,Thu@00h,1.0556028776276463,1.553581135056818,0.4979782574291718,-0.37869843932597536,-0.262975854907484
4,Thu@08h,0.502154850494478,1.2257540055904153,0.7235991550959373,-0.44153733293805675,-0.26874411278892496
5,Thu@16h,0.461509129211187,1.3710651029352419,0.9095559737240548,-0.47965797051779857,-0.2613402126695964
6,Fri@00h,0.6748636420924301,1.3913410009383842,0.7164773588459541,-0.4056805315871228,-0.324731040882105
7,Fri@08h,0.5348558345283193,1.4473293592068026,0.9124735246784833,-0.329189383222772,-0.2130909190062208
8,Fri@16h,0.22488525708746146,0.9753342734289336,0.7504490163414722,-0.534331588032376,-0.30842852255953945
9,Sat@00h,0.42822751679726445,1.0181782296248467,0.5899507128275823,-0.4949166890957116,-0.42656713693600057
10,Sat@08h,0.06820597336126263,0.449140593128041,0.38093461976677834,-0.47880945576808076,-0.4817332604518999
11,Sat@16h,0.1636717432106274,0.8030391234839481,0.6393673802733207,-0.42843589079549915,-0.3234202276350967
12,Sun@00h,0.059403103911827015,0.7887380563235734,0.7293349524117464,-0.46980579999322036,-0.32207948106528717
13,Sun@08h,-0.3480702948677227,0.1215309447696224,0.46960123963734507,-0.747583885337915,-0.6636995180099012
14,Sun@16h,-0.5413722498817934,0.3776589987480383,0.9190312486298318,-0.8199210995082623,-0.6131304474741643
15,Mon@00h,-0.7948847208743266,0.08503566430800312,0.8799203851823297,-0.8286775459324032,-0.7041821647261373
16,Mon@08h,-0.3803317584553184,0.4501481136946381,0.8304798721499564,-0.7576552021844793,-0.5761994840033948
17,Mon@16h,0.543904517868935,1.0417262508933767,0.49782173302444166,-0.4776654165485644,-0.39563856912949436
18,Tue@00h,0.5633667166462492,1.0037636323624317,0.44039691571618256,-0.41349329746717467,-0.2813688894812113
19,Tue@08h,0.5299727082882136,0.8294158698595646,0.299443161571351,-0.3325535065741665,-0.251707853893575
20,Tue@16h,0.5409729398384336,1.008009918091526,0.4670369782530924,-0.44606903005682597,-0.32864508735474596
