symbol,feature,horizon_bars,ic,n_obs
BCHUSDT,of_taker_imb,3,-0.01881579134416521,5726
BCHUSDT,of_taker_imb,9,-0.008891408052152985,5726
BCHUSDT,of_taker_imb,21,-0.003761728018790254,5726
BCHUSDT,of_taker_imb_ma3,3,-0.014687541512870644,5724
BCHUSDT,of_taker_imb_ma3,9,-0.005680132630801297,5724
BCHUSDT,of_taker_imb_ma3,21,-0.0066594138967201195,5724
BCHUSDT,of_taker_imb_ma9,3,-0.01679153786447204,5718
BCHUSDT,of_taker_imb_ma9,9,-0.007986276175803834,5718
BCHUSDT,of_taker_imb_ma9,21,-0.013542665199700984,5718
BCHUSDT,of_taker_imb_z30,3,0.0019375881332352484,5697
BCHUSDT,of_taker_imb_z30,9,0.014717064187217018,5697
BCHUSDT,of_taker_imb_z30,21,0.022257364987637182,5697
BCHUSDT,of_taker_imb_mom3,3,-0.002199797662496133,5724
BCHUSDT,of_taker_imb_mom3,9,0.0026576552134501986,5724
BCHUSDT,of_taker_imb_mom3,21,0.0092809678794007,5724
BCHUSDT,of_oi_logdelta_1,3,0.008862169709705376,3620
BCHUSDT,of_oi_logdelta_1,9,0.027975306536799197,3620
BCHUSDT,of_oi_logdelta_1,21,0.038309957230783245,3620
BCHUSDT,of_oi_logdelta_3,3,0.007948720979273825,3617
BCHUSDT,of_oi_logdelta_3,9,0.046305112003666105,3617
BCHUSDT,of_oi_logdelta_3,21,0.049021166908218054,3617
BCHUSDT,of_oi_logdelta_9,3,0.026838490157590253,3611
BCHUSDT,of_oi_logdelta_9,9,0.07113260930514584,3611
BCHUSDT,of_oi_logdelta_9,21,0.06870555632936452,3611
BCHUSDT,of_oi_logdelta_z30,3,0.0011247556920343856,3606
BCHUSDT,of_oi_logdelta_z30,9,0.01058542998035865,3606
BCHUSDT,of_oi_logdelta_z30,21,0.02272017530415047,3606
BCHUSDT,of_retail_lsr,3,-0.0058930759097733714,2671
BCHUSDT,of_retail_lsr,9,-0.023555235156246596,2671
BCHUSDT,of_retail_lsr,21,0.02450012308851645,2671
BCHUSDT,of_retail_lsr_z30,3,-0.04843167719485458,2623
BCHUSDT,of_retail_lsr_z30,9,-0.09382788646555108,2623
BCHUSDT,of_retail_lsr_z30,21,-0.056704546641776474,2623
BCHUSDT,of_top_acct_lsr,3,-0.005257965989715824,2671
BCHUSDT,of_top_acct_lsr,9,-0.025655665183920037,2671
BCHUSDT,of_top_acct_lsr,21,0.00988114319445192,2671
BCHUSDT,of_top_acct_lsr_z30,3,-0.03598008482992601,2623
BCHUSDT,of_top_acct_lsr_z30,9,-0.07711606898403961,2623
BCHUSDT,of_top_acct_lsr_z30,21,-0.03907692949641494,2623
BCHUSDT,of_top_pos_lsr,3,-0.012498111771079994,2671
BCHUSDT,of_top_pos_lsr,9,-0.006868725876798181,2671
BCHUSDT,of_top_pos_lsr,21,-0.008565182365845168,2671
BCHUSDT,of_top_pos_lsr_z30,3,-0.014280837124601617,2623
BCHUSDT,of_top_pos_lsr_z30,9,-0.011798117882323947,2623
BCHUSDT,of_top_pos_lsr_z30,21,0.020555777077174025,2623
BCHUSDT,of_taker_lsr,3,-0.006388525486551448,2670
BCHUSDT,of_taker_lsr,9,0.016541289163344984,2670
BCHUSDT,of_taker_lsr,21,0.03621791001273971,2670
BCHUSDT,of_taker_lsr_z30,3,-0.011244864818311091,2623
BCHUSDT,of_taker_lsr_z30,9,0.010753592634576205,2623
BCHUSDT,of_taker_lsr_z30,21,0.018740712298976954,2623
BCHUSDT,of_retail_top_divergence,3,0.011616431861067738,2671
BCHUSDT,of_retail_top_divergence,9,-7.816807208571344e-05,2671
BCHUSDT,of_retail_top_divergence,21,0.048365920282319945,2671
BCHUSDT,of_retail_top_divergence_z30,3,-0.03165762003849417,2623
BCHUSDT,of_retail_top_divergence_z30,9,-0.0756640262047488,2623
BCHUSDT,of_retail_top_divergence_z30,21,-0.028514569373144786,2623
LDOUSDT,of_taker_imb,3,-0.01221513953303389,2740
LDOUSDT,of_taker_imb,9,-0.013918716826184702,2740
LDOUSDT,of_taker_imb,21,-0.022367201787990336,2740
LDOUSDT,of_taker_imb_ma3,3,-0.011479115846263014,2738
LDOUSDT,of_taker_imb_ma3,9,-0.008593753649597403,2738
LDOUSDT,of_taker_imb_ma3,21,-0.03452052633784748,2738
LDOUSDT,of_taker_imb_ma9,3,-0.01910207753081159,2732
LDOUSDT,of_taker_imb_ma9,9,-0.04214205886559798,2732
LDOUSDT,of_taker_imb_ma9,21,-0.06967665896022447,2732
LDOUSDT,of_taker_imb_z30,3,-0.017955028895630616,2711
LDOUSDT,of_taker_imb_z30,9,-0.01703314964716551,2711
LDOUSDT,of_taker_imb_z30,21,-0.020792465309215667,2711
LDOUSDT,of_taker_imb_mom3,3,-0.014033085884186978,2738
LDOUSDT,of_taker_imb_mom3,9,-0.01172095265341132,2738
LDOUSDT,of_taker_imb_mom3,21,-0.0005354814639043366,2738
LDOUSDT,of_oi_logdelta_1,3,-0.015659560171934976,2737
LDOUSDT,of_oi_logdelta_1,9,-0.0376002994498627,2737
LDOUSDT,of_oi_logdelta_1,21,-0.02456917994793902,2737
LDOUSDT,of_oi_logdelta_3,3,-0.02719130959908139,2735
LDOUSDT,of_oi_logdelta_3,9,-0.03120821596645633,2735
LDOUSDT,of_oi_logdelta_3,21,-0.014596891425482103,2735
LDOUSDT,of_oi_logdelta_9,3,-0.014163768004238932,2729
LDOUSDT,of_oi_logdelta_9,9,-0.032267533291777076,2729
LDOUSDT,of_oi_logdelta_9,21,-0.029862753298584822,2729
LDOUSDT,of_oi_logdelta_z30,3,-0.009341109143975916,2709
LDOUSDT,of_oi_logdelta_z30,9,-0.03140339884238191,2709
LDOUSDT,of_oi_logdelta_z30,21,-0.004190553283798587,2709
LDOUSDT,of_retail_lsr,3,0.04844919800415857,2490
LDOUSDT,of_retail_lsr,9,0.073147783802294,2490
LDOUSDT,of_retail_lsr,21,0.08908942316579632,2490
LDOUSDT,of_retail_lsr_z30,3,0.02138866646432537,2476
LDOUSDT,of_retail_lsr_z30,9,0.061332908175491606,2476
LDOUSDT,of_retail_lsr_z30,21,0.0925648265590532,2476
LDOUSDT,of_top_acct_lsr,3,0.042301979410484226,2490
LDOUSDT,of_top_acct_lsr,9,0.05600198296095221,2490
LDOUSDT,of_top_acct_lsr,21,0.0648297036548932,2490
LDOUSDT,of_top_acct_lsr_z30,3,0.022123727849255693,2476
LDOUSDT,of_top_acct_lsr_z30,9,0.044839195094304625,2476
LDOUSDT,of_top_acct_lsr_z30,21,0.08897812290737252,2476
LDOUSDT,of_top_pos_lsr,3,-0.005574418956469947,2490
LDOUSDT,of_top_pos_lsr,9,-0.0199341531307107,2490
LDOUSDT,of_top_pos_lsr,21,-0.0478232534805839,2490
LDOUSDT,of_top_pos_lsr_z30,3,0.004110522935251635,2476
LDOUSDT,of_top_pos_lsr_z30,9,-0.0006960034668783918,2476
LDOUSDT,of_top_pos_lsr_z30,21,0.03719798294249781,2476
LDOUSDT,of_taker_lsr,3,0.02747944811771243,2490
LDOUSDT,of_taker_lsr,9,0.019829469221242537,2490
LDOUSDT,of_taker_lsr,21,0.057821197996498604,2490
LDOUSDT,of_taker_lsr_z30,3,-0.006052594625931359,2476
LDOUSDT,of_taker_lsr_z30,9,-0.025987411003575874,2476
LDOUSDT,of_taker_lsr_z30,21,-0.022593684588297754,2476
LDOUSDT,of_retail_top_divergence,3,0.03857795026230605,2490
LDOUSDT,of_retail_top_divergence,9,0.06929909749186924,2490
LDOUSDT,of_retail_top_divergence,21,0.09848857895296463,2490
LDOUSDT,of_retail_top_divergence_z30,3,0.013695493818995137,2476
LDOUSDT,of_retail_top_divergence_z30,9,0.055466693640235945,2476
LDOUSDT,of_retail_top_divergence_z30,21,0.08351606722583384,2476
TRXUSDT,of_taker_imb,3,-0.026005723903619878,5668
TRXUSDT,of_taker_imb,9,-0.0002068131249752535,5668
TRXUSDT,of_taker_imb,21,0.0050018370370990195,5668
TRXUSDT,of_taker_imb_ma3,3,-0.014757099504876948,5666
TRXUSDT,of_taker_imb_ma3,9,-0.00428857302854693,5666
TRXUSDT,of_taker_imb_ma3,21,0.004931637786661595,5666
TRXUSDT,of_taker_imb_ma9,3,-0.016448979777548153,5660
TRXUSDT,of_taker_imb_ma9,9,-0.024320053892301026,5660
TRXUSDT,of_taker_imb_ma9,21,0.009432313597109733,5660
TRXUSDT,of_taker_imb_z30,3,-0.025197065871328535,5639
TRXUSDT,of_taker_imb_z30,9,-0.01104095354976886,5639
TRXUSDT,of_taker_imb_z30,21,-0.02401300393289552,5639
TRXUSDT,of_taker_imb_mom3,3,-0.019826928508306203,5666
TRXUSDT,of_taker_imb_mom3,9,0.004633201590678592,5666
TRXUSDT,of_taker_imb_mom3,21,0.006460885579985545,5666
TRXUSDT,of_oi_logdelta_1,3,-0.022564973641189673,3605
TRXUSDT,of_oi_logdelta_1,9,-0.024070084889986344,3605
