fwd_horizon_bars,quantile,quantile_frac,n_snapshots,mean_reversal_spread,spread_sharpe_raw,spread_sharpe_per_bar_eq
3,tercile,0.3333,5399,-0.002387,-0.0686,-0.0396
3,quartile,0.25,5399,-0.002984,-0.0699,-0.0403
3,quintile,0.2,5399,-0.003855,-0.0777,-0.0448
3,decile,0.1,4734,-0.004402,-0.0554,-0.032
6,tercile,0.3333,5396,-0.004933,-0.1001,-0.0409
6,quartile,0.25,5396,-0.006194,-0.1025,-0.0418
6,quintile,0.2,5396,-0.007656,-0.1105,-0.0451
6,decile,0.1,4731,-0.008804,-0.0768,-0.0314
9,tercile,0.3333,5393,-0.007395,-0.1204,-0.0401
9,quartile,0.25,5393,-0.009787,-0.1294,-0.0431
9,quintile,0.2,5393,-0.011899,-0.1369,-0.0456
9,decile,0.1,4728,-0.014014,-0.0959,-0.032
12,tercile,0.3333,5390,-0.009763,-0.1329,-0.0384
12,quartile,0.25,5390,-0.012654,-0.1382,-0.0399
12,quintile,0.2,5390,-0.015082,-0.1428,-0.0412
12,decile,0.1,4725,-0.018565,-0.1048,-0.0303
