feature,gain,split,rank_gain
ret_skew_100,2536.431989490986,178,1
obv_slope_50,1934.8835143446922,158,2
btc_vol_14d,1885.181397497654,146,3
max_dd_window_50,1883.9053893089294,124,4
cusum_reset_count_200,1882.3067343235016,127,5
ret_skew_200,1800.3303862214088,137,6
ret_autocorr_lag1_50,1771.2668735310435,135,7
ret_autocorr_lag5_50,1522.6158261299133,129,8
btc_ret_14d,1484.0073627829552,107,9
fracdiff_logclose_dstat,1458.1439044475555,103,10
ret_skew_50,1452.0626024603844,105,11
ret_kurt_200,1382.248575925827,118,12
taker_buy_imbalance_20,1363.8174208402634,101,13
volume_cv_50,1312.170443713665,109,14
hurst_200,1281.0782659053802,98,15
fracdiff_d05_close,1171.9303641319275,50,16
parkinson_gk_ratio_20,1139.9356163144112,99,17
sym_vs_btc_vol_14d,1107.7064239680767,74,18
range_realized_vol_50,953.4872166663408,77,19
adx_14,889.2026088237762,69,20
kurt_ratio_50_200,834.1483145952225,80,21
volume_mom_ratio_20,782.6239395737648,68,22
bb_width_pct_rank_100,774.3764803409576,66,23
vol_transition_slope_20,772.5553129911423,74,24
btc_ret_7d,757.7593539357185,71,25
atr_pct_rank_500,740.5364097356796,60,26
ret_kurt_50,713.229942381382,64,27
atr_pct_rank_200,693.1132998168468,57,28
ema_spread_atr_20,692.4993276596069,55,29
hurst_100,621.8081095218658,58,30
btc_ret_3d,593.2131098806858,55,31
sym_vs_btc_ret_7d,555.9259104728699,47,32
ret_20d,554.3286910057068,59,33
hurst_drift_50_200,520.8973361551762,49,34
hurst_diff_100_50,509.19861030578613,41,35
trend_efficiency_signed,487.3944588303566,32,36
vwap_dev_50,484.71679985523224,31,37
parkinson_vol_20,452.0886001586914,40,38
mom_accel_20_100,425.7769614458084,43,39
vol_regime_x_momentum,406.13819766044617,36,40
btc_funding_rate_zscore_30,402.1584106683731,45,41
funding_rate_zscore_30,394.5593993663788,42,42
garman_klass_vol_20,379.16430854797363,31,43
cross_asset_divergence_norm,373.5563875436783,37,44
cci_20,363.2550209760666,34,45
rsi_14,362.4728398323059,23,46
rsi_28,290.4821102619171,29,47
parkinson_vol_50,275.8651785850525,18,48
macd_hist_norm,268.6945458650589,33,49
candle_efficiency_20,210.11514711380005,27,50
mom_accel_5_20,186.9311604499817,28,51
sym_vs_btc_ret_3d,179.82515144348145,21,52
vwap_dev_20,154.77488136291504,19,53
stoch_k_14,135.14579892158508,12,54
close_pos_in_range_20,126.361980676651,16,55
ret_3d,122.74947953224182,12,56
candle_dow_sin,117.05322998762131,19,57
fracdiff_logvolume_dstat,114.57795441150665,20,58
ret_1d,108.9360203742981,16,59
vol_normalized_ret_5d,100.50937080383301,8,60
tbr_zscore_30,95.64536714553833,15,61
hl_range_ratio_20,93.46933007240295,15,62
regime_momentum_signed_5d,86.72792100906372,10,63
taker_buy_zscore_50,59.66510057449341,10,64
bb_pctb_20,51.532779932022095,7,65
ret_5d,51.515180587768555,3,66
vol_return_divergence_30,46.07350027561188,9,67
williams_r_14,41.29415038228035,4,68
candle_dow_cos,32.74807071685791,6,69
candle_hour_cos,0.0,0,70
candle_hour_sin,0.0,0,71
