symbol,n_extreme_runs,extreme_run_mean,extreme_run_median,extreme_run_p90,extreme_run_max,normal_run_mean,flip_rate_per_bar,regime_like_if_flip_rate_lt_0p10
BTCUSDT,483,1.6770186335403727,1.0,3.0,8,9.96900826446281,0.1715,MIXED
ETHUSDT,488,1.5635245901639345,1.0,3.0,7,9.7280163599182,0.1768,MIXED
LINKUSDT,415,1.7084337349397591,1.0,3.0,10,11.665865384615385,0.1493,MIXED
LTCUSDT,465,1.7247311827956988,1.0,4.0,9,10.418454935622318,0.1644,MIXED
DOTUSDT,418,1.736842105263158,1.0,3.0,12,10.140811455847256,0.1681,MIXED
