sym_a,sym_b,both_extreme_pct,a_extreme_pct,b_extreme_pct,P(B_extreme|A_extreme),P(A_extreme|B_extreme),pearson_corr
BTCUSDT,ETHUSDT,0.0539,0.1516,0.1435,0.3553,0.3754,0.2554
BTCUSDT,LINKUSDT,0.043,0.1516,0.1303,0.2837,0.3301,0.1927
BTCUSDT,LTCUSDT,0.0536,0.1516,0.1454,0.3539,0.369,0.2501
BTCUSDT,DOTUSDT,0.0419,0.1516,0.1479,0.2767,0.2835,0.1533
ETHUSDT,LINKUSDT,0.0456,0.1435,0.1303,0.3175,0.3497,0.2277
ETHUSDT,LTCUSDT,0.0553,0.1435,0.1454,0.3858,0.3807,0.2791
ETHUSDT,DOTUSDT,0.0436,0.1435,0.1479,0.3042,0.295,0.1801
LINKUSDT,LTCUSDT,0.0549,0.1303,0.1454,0.4216,0.3777,0.3032
LINKUSDT,DOTUSDT,0.0551,0.1303,0.1479,0.4232,0.3727,0.3001
LTCUSDT,DOTUSDT,0.0526,0.1454,0.1479,0.3616,0.3554,0.2483
