metric,in_sample,out_of_sample,ratio
sharpe,-0.5761,0.7593,-1.3180
sortino,-0.5711,0.9947,-1.7418
max_drawdown,155.98%,31.34%,0.2009
win_rate,39.1%,41.1%,1.0502
profit_factor,0.8907,1.1429,1.2832
total_trades,747,285,0.3815
calmar_ratio,0.6438,1.2138,1.8854
dsr,-59.4191,-27.8830,0.4693
total_net_pnl,-100.4236,38.0416,-0.3788
psr_monthly_vs_0,0.143366,0.788758,5.5017
psr_monthly_vs_1,0.001480,0.382045,258.1529
psr_daily_vs_0,0.154096,0.800986,5.1980
n_effective_trials,10,10,1.0000
n_eff_per_cell_median,10,10,1.0000
r5_fire_rate_is,0.000000,0.000000,—
r5_fire_rate_oos,0.000000,0.000000,—
r5_binary_kill_fire_rate_is,0.000000,0.000000,—
r5_binary_kill_fire_rate_oos,0.000000,0.000000,—
