date,ret_1x,ret_2x_gt,turnover,gross_scalar_applied,regime_state,n_held,funding_ret,hedge_funding_ret,price_ret
2026-07-01T08:00:00Z,-0.00748880236200013,-0.0075607831160981786,0.09597520789219802,0.5,NORMAL,20,-0.0006561468308066289,6.29931693371013e-07,-0.008144949192806759
2026-07-01T16:00:00Z,-0.010610682578035355,-0.010611452161623413,0.0,0.5,NORMAL,20,-0.00020604287328541659,2.4283714636379533e-06,-0.010816725451320772
2026-07-02T00:00:00Z,0.006507507207229163,0.00650798425322346,0.0,0.5,NORMAL,20,-5.1855646741086735e-05,2.841390357049655e-06,0.006455651560488076
2026-07-02T08:00:00Z,0.0009155470800456024,0.0007488556541684283,0.22223036651615868,1.0,NORMAL,20,-5.2457375852582025e-05,4.446428974179662e-07,0.0008630897041930203
2026-07-02T16:00:00Z,-0.004345930137900018,-0.004346654025104441,0.0,1.0,NORMAL,20,-6.326220012829495e-05,4.4712530027817023e-07,-0.004409192338028313
2026-07-03T00:00:00Z,0.000958490482571416,0.0009586508321440178,0.0,1.0,NORMAL,20,-0.0002444672236938815,8.742980214141855e-07,0.0007140232588775345
2026-07-03T08:00:00Z,-0.008356905892394167,-0.008789074875778347,0.5762918868060589,1.0,NORMAL,20,-0.0010835136375000002,0.0,-0.009440419529894167
2026-07-03T16:00:00Z,-0.0056592470861677215,-0.005661714523721078,0.0,1.0,NORMAL,20,-0.00023659781123852667,-3.538861121110634e-06,-0.005895844897406248
2026-07-04T00:00:00Z,-0.003402785980691631,-0.0034042780465317704,0.0,1.0,NORMAL,20,-4.559416805166759e-05,-2.5970254824280305e-06,-0.0034483801487432985
2026-07-04T08:00:00Z,-0.01978180139577775,-0.020050538323761618,0.35783032124361025,1.0,NORMAL,20,0.00010339026716801797,-6.850845331982036e-06,-0.01967841112860973
2026-07-04T16:00:00Z,-0.059879556873591415,-0.05989597797365072,0.0,1.0,NORMAL,20,7.880126550708774e-05,0.0,-0.05980075560808433
2026-07-05T00:00:00Z,-0.009684868005814877,-0.009687693155513155,0.0,1.0,NORMAL,20,0.00017010883530760827,-7.0863407737666044e-06,-0.009514759170507269
2026-07-05T08:00:00Z,-0.004166246926895204,-0.004574419876846567,0.5470703194422748,1.0,NORMAL,20,-3.252620752253362e-06,1.1946643541970396e-07,-0.004169499547647457
2026-07-05T16:00:00Z,0.00938984552817773,0.009386503588430904,0.0,1.0,NORMAL,20,-1.9947602561124302e-05,2.1956879292064748e-07,0.009369897925616606
2026-07-06T00:00:00Z,-0.0024365982955568645,-0.00243573915027322,0.0,1.0,NORMAL,20,-5.2672608758722356e-06,9.538483318897061e-08,-0.002441865556432737
2026-07-06T08:00:00Z,0.0004982833061951916,0.0003565309336930085,0.1886630294300649,1.0,NORMAL,20,-0.00017262927034068814,1.7726230382914694e-06,0.00032565403585450343
2026-07-06T16:00:00Z,0.001313423857056868,0.001312182149727923,0.0,1.0,NORMAL,20,-0.0005770120505877435,2.8698488633755913e-06,0.0007364118064691244
2026-07-07T00:00:00Z,-0.0031667761400994187,-0.0031637862019250527,0.0,1.0,NORMAL,20,-0.0012823779397272822,2.8869218720580658e-06,-0.004449154079826701
2026-07-07T08:00:00Z,0.002973895527111592,0.002802507962220458,0.22448929629176467,1.0,NORMAL,20,0.0001371784883334768,-8.491962063411122e-07,0.003111074015445069
2026-07-07T16:00:00Z,-0.008353217825716411,-0.00834563593692582,0.0,1.0,NORMAL,20,0.0002972508283178408,-9.82710659366529e-07,-0.008055966997398571
2026-07-08T00:00:00Z,0.0013229600511040322,0.0013217491462890016,0.0,1.0,NORMAL,20,7.46116997387239e-05,-7.130921746087532e-07,0.001397571750842756
2026-07-08T08:00:00Z,0.01726473094090761,0.017102221985977543,0.1920944517816395,1.0,NORMAL,20,0.0005697405360848948,-2.7128328998187614e-07,0.017834471476992506
2026-07-08T16:00:00Z,0.014922693969320675,0.014908972985984788,0.0,1.0,NORMAL,20,5.498414170316898e-05,-2.6213034970292295e-06,0.014977678111023844
