symbol,decile,n_trades,wins,win_rate,mean_net_pnl_pct,sum_weighted_pnl,mean_weighted_pnl
BTCUSDT,D1,11,2,0.18181818181818182,-1.0425727272727274,-5.2491,-0.4771909090909091
BTCUSDT,D2,17,6,0.35294117647058826,-0.17782352941176457,-4.760499999999999,-0.2800294117647058
BTCUSDT,D3,15,4,0.26666666666666666,-1.006886666666667,0.14590000000000014,0.009726666666666677
BTCUSDT,D4,15,4,0.26666666666666666,-1.05106,-7.1867,-0.47911333333333334
BTCUSDT,D5,10,5,0.5,1.33526,0.5111999999999997,0.051119999999999964
BTCUSDT,D6,12,5,0.4166666666666667,-0.052800000000000104,3.0339,0.252825
BTCUSDT,D7,6,4,0.6666666666666666,2.9439000000000006,5.828799999999999,0.9714666666666666
BTCUSDT,D8,14,4,0.2857142857142857,-0.8084785714285717,-0.8316000000000014,-0.059400000000000105
BTCUSDT,D9,10,3,0.3,-1.3188,-7.246900000000002,-0.7246900000000002
BTCUSDT,D10,3,1,0.3333333333333333,0.7363666666666665,0.7289999999999999,0.24299999999999997
DOTUSDT,D1,18,9,0.5,0.8545555555555557,2.9364000000000012,0.1631333333333334
DOTUSDT,D2,15,5,0.3333333333333333,0.27597999999999967,-4.2796,-0.2853066666666667
DOTUSDT,D3,11,2,0.18181818181818182,-3.913809090909091,-15.2407,-1.3855181818181819
DOTUSDT,D4,13,6,0.46153846153846156,0.9294230769230766,1.9410999999999992,0.14931538461538454
DOTUSDT,D5,18,6,0.3333333333333333,-0.7568333333333334,-7.2658000000000005,-0.4036555555555556
DOTUSDT,D6,7,4,0.5714285714285714,1.2942714285714285,-3.5669000000000013,-0.509557142857143
DOTUSDT,D7,3,1,0.3333333333333333,-2.4059999999999997,-8.957199999999998,-2.9857333333333327
DOTUSDT,D8,7,6,0.8571428571428571,7.666942857142858,19.5035,2.7862142857142858
DOTUSDT,D9,1,0,0.0,-3.8156,-1.2591,-1.2591
ETHUSDT,D1,17,8,0.47058823529411764,0.30028235294117644,4.749499999999999,0.2793823529411764
ETHUSDT,D2,14,4,0.2857142857142857,-1.0615,-2.7079999999999993,-0.19342857142857137
ETHUSDT,D3,20,11,0.55,1.39075,19.107499999999998,0.9553749999999999
ETHUSDT,D4,19,5,0.2631578947368421,-1.3894105263157897,-19.6805,-1.0358157894736841
ETHUSDT,D5,20,7,0.35,-0.8233499999999999,-5.434099999999999,-0.271705
ETHUSDT,D6,17,6,0.35294117647058826,-0.5706235294117645,-5.622799999999999,-0.3307529411764705
ETHUSDT,D7,5,2,0.4,-0.44812000000000013,-3.5324,-0.70648
ETHUSDT,D8,16,8,0.5,2.3299687500000004,5.1549000000000005,0.32218125000000003
ETHUSDT,D9,12,2,0.16666666666666666,-3.2881250000000004,-17.7233,-1.4769416666666666
ETHUSDT,D10,5,3,0.6,5.04528,9.7162,1.94324
LINKUSDT,D1,23,9,0.391304347826087,0.18965652173913036,15.2537,0.663204347826087
LINKUSDT,D2,15,7,0.4666666666666667,0.47145333333333367,3.1783999999999994,0.2118933333333333
LINKUSDT,D3,22,7,0.3181818181818182,-2.0192363636363635,-27.578400000000002,-1.2535636363636364
LINKUSDT,D4,21,13,0.6190476190476191,2.340609523809524,26.759900000000002,1.2742809523809524
LINKUSDT,D5,20,10,0.5,0.7271299999999999,14.052200000000001,0.7026100000000001
LINKUSDT,D6,10,2,0.2,-4.052110000000001,-27.4279,-2.7427900000000003
LINKUSDT,D7,13,4,0.3076923076923077,-1.2355769230769231,-5.215600000000001,-0.4012000000000001
LINKUSDT,D8,11,7,0.6363636363636364,5.7386,55.5797,5.052700000000001
LINKUSDT,D9,9,5,0.5555555555555556,1.611611111111111,24.2446,2.6938444444444443
LINKUSDT,D10,2,2,1.0,10.154599999999999,17.554,8.777
LTCUSDT,D1,14,7,0.5,1.293542857142857,27.6984,1.978457142857143
LTCUSDT,D2,15,9,0.6,2.0690666666666666,10.582700000000003,0.7055133333333335
LTCUSDT,D3,25,7,0.28,-0.967972,-16.5801,-0.663204
LTCUSDT,D4,18,7,0.3888888888888889,0.49064999999999986,-0.22270000000000034,-0.012372222222222241
LTCUSDT,D5,11,3,0.2727272727272727,-2.3962000000000003,-21.0917,-1.9174272727272728
LTCUSDT,D6,11,4,0.36363636363636365,-0.8505454545454544,-5.259899999999999,-0.4781727272727272
LTCUSDT,D7,11,3,0.2727272727272727,-1.2055545454545453,-5.980000000000001,-0.5436363636363638
LTCUSDT,D8,13,6,0.46153846153846156,2.224353846153846,26.1383,2.010638461538462
LTCUSDT,D9,5,3,0.6,-1.9641199999999999,-9.820599999999999,-1.9641199999999999
