symbol,direction,entry_price,exit_price,weight_factor,open_time,close_time,exit_reason,pnl_pct,fee_pct,net_pnl_pct,weighted_pnl,stop_loss_price,take_profit_price,timeout_time,confidence,rv_30d_ann
BTCUSDT,1,47194.78,45285.852015,1.0,1641052799999,1641427199999,stop_loss,-4.0448,0.1,-4.1448,-4.1448,45285.852015,51012.635969,1641657599999,0.751994,0.7234319297764256
BTCUSDT,-1,42534.32,40662.06,1.0,1642118399999,1642723200000,timeout,4.4018,0.1,4.3018,4.3018,44336.728377,38929.503245,1642723199999,0.725201,0.5531357433465245
BTCUSDT,1,38420.65,36753.211784,1.0,1643702399999,1643846399999,stop_loss,-4.34,0.1,-4.44,-4.44,36753.211784,41755.526431,1644307199999,0.730233,0.6581104366832338
BTCUSDT,1,37289.86,40310.108097,1.0,1643932799999,1644019199999,take_profit,8.0994,0.1,7.9994,7.9994,35779.735952,40310.108097,1644537599999,0.703848,0.6602598248926683
BTCUSDT,1,41374.69,44769.915524,1.0,1644105599999,1644307199999,take_profit,8.206,0.1,8.106,8.106,39677.077238,44769.915524,1644710399999,0.830192,0.6598376114991616
BTCUSDT,1,43798.9,41807.702226,0.33,1644393599999,1644652799999,stop_loss,-4.5462,0.1,-4.6462,-1.5333,41807.702226,47781.295547,1644998399999,0.795742,0.6742719757500742
BTCUSDT,1,42385.69,40524.897072,0.33,1644739199999,1645142399999,stop_loss,-4.3901,0.1,-4.4901,-1.4817,40524.897072,46107.275857,1645343999999,0.826163,0.6732343854461817
BTCUSDT,1,39966.8,38233.634074,0.33,1645228799999,1645372799999,stop_loss,-4.3365,0.1,-4.4365,-1.464,38233.634074,43433.131851,1645833599999,0.852078,0.7032751730692548
BTCUSDT,1,35892.2,40095.508183,0.33,1645718399999,1645747199999,take_profit,11.7109,0.1,11.6109,3.8316,33790.545908,40095.508183,1646323199999,0.703307,0.6099614405989436
BTCUSDT,1,39205.4,43898.179079,0.33,1645833599999,1646092799999,take_profit,11.9697,0.1,11.8697,3.917,36859.010461,43898.179079,1646438399999,0.801972,0.6425322964859153
BTCUSDT,-1,38530.4,40535.190654,0.33,1646726399999,1646812799999,stop_loss,-5.2031,0.1,-5.3031,-1.75,40535.190654,34520.818692,1647331199999,0.777959,0.7087119674229405
BTCUSDT,-1,39219.9,41525.855263,0.33,1646899199999,1647417599999,stop_loss,-5.8796,0.1,-5.9796,-1.9733,41525.855263,34607.989474,1647503999999,0.77998,0.782914404410867
BTCUSDT,-1,46450.0,43702.14011,0.33,1648742399999,1649260799999,take_profit,5.9157,0.1,5.8157,1.9192,47823.929945,43702.14011,1649347199999,0.798003,0.5752217571139453
BTCUSDT,-1,43417.1,40391.122212,0.33,1649375999999,1649721599999,take_profit,6.9696,0.1,6.8696,2.267,44930.088894,40391.122212,1649980799999,0.68302,0.5557505838144249
BTCUSDT,-1,40430.7,41527.556942,1.0,1650211199999,1650383999999,stop_loss,-2.7129,0.1,-2.8129,-2.8129,41527.556942,38236.986115,1650815999999,0.789421,0.43541052984652306
BTCUSDT,-1,41327.7,42623.405397,0.33,1650499199999,1650556799999,stop_loss,-3.1352,0.1,-3.2352,-1.0676,42623.405397,38736.289206,1651103999999,0.706713,0.461145586903363
BTCUSDT,-1,39732.5,36667.2964,0.33,1651190399999,1651766399999,take_profit,7.7146,0.1,7.6146,2.5128,41265.1018,36667.2964,1651795199999,0.716131,0.5188004711992055
BTCUSDT,1,29714.9,28552.688736,1.0,1653551999999,1653580799999,stop_loss,-3.9112,0.1,-4.0112,-4.0112,28552.688736,32039.322528,1654156799999,0.788483,0.7460056047496525
BTCUSDT,1,28870.9,31199.581679,1.0,1653724799999,1653955199999,take_profit,8.0658,0.1,7.9658,7.9658,27706.55916,31199.581679,1654329599999,0.779161,0.7203310804505221
BTCUSDT,1,31479.6,30307.211859,0.33,1654070399999,1654127999999,stop_loss,-3.7243,0.1,-3.8243,-1.262,30307.211859,33824.376282,1654675199999,0.867436,0.7421918253070541
BTCUSDT,-1,29876.0,31080.163776,1.0,1654617599999,1654646399999,stop_loss,-4.0305,0.1,-4.1305,-4.1305,31080.163776,27467.672447,1655222399999,0.656129,0.7539383750326994
BTCUSDT,-1,30192.5,27477.474014,0.33,1654732799999,1655020799999,take_profit,8.9924,0.1,8.8924,2.9345,31550.012993,27477.474014,1655337599999,0.76139,0.7149781265157764
BTCUSDT,1,21087.5,18976.296491,0.33,1655452799999,1655567999999,stop_loss,-10.0116,0.1,-10.1116,-3.3368,18976.296491,25309.907017,1656057599999,0.927568,0.7825736886444566
BTCUSDT,1,19816.3,21314.2,0.33,1655654399999,1656259200000,timeout,7.5589,0.1,7.4589,2.4614,17778.439325,23892.021351,1656259199999,0.949868,0.8389951414813607
BTCUSDT,1,20730.0,19641.468492,0.33,1656374399999,1656575999999,stop_loss,-5.251,0.1,-5.351,-1.7658,19641.468492,22907.063015,1656979199999,0.747515,0.8997410815560491
BTCUSDT,1,19566.1,21933.503283,0.33,1656662399999,1657267199999,take_profit,12.0995,0.1,11.9995,3.9598,18382.398359,21933.503283,1657267199999,0.857103,0.8955269602467052
BTCUSDT,-1,20429.3,21315.799195,0.33,1657526399999,1658015999999,stop_loss,-4.3394,0.1,-4.4394,-1.465,21315.799195,18656.301611,1658131199999,0.73521,0.8805602535427026
BTCUSDT,-1,22764.2,23928.798899,0.33,1658563199999,1659023999999,stop_loss,-5.1159,0.1,-5.2159,-1.7213,23928.798899,20435.002202,1659167999999,0.739403,0.6671985663727875
BTCUSDT,-1,23764.2,23012.2,0.33,1659283199999,1659888000000,timeout,3.1644,0.1,3.0644,1.0113,24776.423882,21739.752236,1659887999999,0.750367,0.687476991559605
BTCUSDT,1,23804.4,23092.842891,0.33,1660003199999,1660060799999,stop_loss,-2.9892,0.1,-3.0892,-1.0194,23092.842891,25227.514217,1660607999999,0.737226,0.6599112355246765
BTCUSDT,1,23940.9,23333.1,0.33,1660175999999,1660780800000,timeout,-2.5388,0.1,-2.6388,-0.8708,23086.157011,25650.385978,1660780799999,0.792305,0.6727617546262153
BTCUSDT,1,23185.1,22482.206638,0.33,1660867199999,1660895999999,stop_loss,-3.0317,0.1,-3.1317,-1.0334,22482.206638,24590.886723,1661471999999,0.872021,0.5507631644484797
BTCUSDT,1,21388.0,20589.800303,0.33,1661183999999,1661529599999,stop_loss,-3.732,0.1,-3.832,-1.2646,20589.800303,22984.399393,1661788799999,0.896801,0.5614425948538649
BTCUSDT,1,19966.1,19764.3,0.33,1661615999999,1662220800000,timeout,-1.0107,0.1,-1.1107,-0.3665,19185.109071,21528.081858,1662220799999,0.863882,0.4937288425301285
BTCUSDT,1,21258.5,20455.173511,0.33,1662739199999,1663113599999,stop_loss,-3.7788,0.1,-3.8788,-1.28,20455.173511,22865.152977,1663343999999,0.821312,0.5437776286448956
BTCUSDT,1,19730.5,18859.842671,0.33,1663315199999,1663574399999,stop_loss,-4.4127,0.1,-4.5127,-1.4892,18859.842671,21471.814659,1663919999999,0.803669,0.5964212010927741
