path_id,sharpe,max_dd,n_trades
0,0.83752,18.5658,46
1,1.202045,18.5658,46
2,0.529672,19.6095,46
3,0.877677,22.7236,46
4,0.48869,35.2964,45
5,-0.03768,40.9007,45
6,0.913051,18.5658,45
7,0.099852,47.5425,45
8,0.69955,30.9117,45
9,0.513211,17.2941,46
10,-0.500924,29.0624,46
11,0.180366,28.4266,46
12,-0.33796,35.2964,45
13,-1.201995,46.1491,45
14,0.238878,17.6929,45
15,-0.525214,48.8351,45
16,0.107163,30.9117,45
17,0.157037,19.6095,46
18,0.60213,22.7236,46
19,0.169657,35.2964,45
20,-0.457768,40.9007,45
21,0.64506,17.6929,45
22,-0.155229,47.5425,45
23,0.45795,30.9117,45
24,-0.157012,28.896,46
25,-0.741952,35.2964,45
26,-1.827345,46.6186,45
27,-0.084285,18.9573,45
28,-0.792142,49.3046,45
29,-0.156327,30.9117,45
30,-0.096125,35.2964,45
31,-0.703442,45.0276,45
32,0.36964,22.7236,45
33,-0.33873,47.7136,45
34,0.237667,30.9117,45
35,-1.325346,59.0712,44
36,-0.035958,35.2964,44
37,-0.693111,61.7572,44
38,-0.110523,35.2964,44
39,-0.614854,40.9007,44
40,-1.192067,71.0971,44
41,-0.58467,40.9007,44
42,-0.289968,54.9474,44
43,0.279637,30.9117,44
44,-0.325556,47.5425,44
