symbol,quintile,n_trades,win_rate_%,mean_pnl_%,median_pnl_%
BTCUSDT,Q1_low,23,43.5,0.853,-2.316
BTCUSDT,Q2,22,22.7,-1.599,-2.73
BTCUSDT,Q3,23,30.4,-0.688,-2.527
BTCUSDT,Q4,22,40.9,0.461,-1.684
BTCUSDT,Q5_high,23,30.4,-0.698,-2.813
ETHUSDT,Q1_low,29,24.1,-1.642,-3.282
ETHUSDT,Q2,29,37.9,0.179,-3.097
ETHUSDT,Q3,29,58.6,1.741,2.08
ETHUSDT,Q4,29,27.6,-1.996,-3.541
ETHUSDT,Q5_high,29,44.8,1.244,-2.57
LINKUSDT,Q1_low,30,36.7,-1.47,-5.492
LINKUSDT,Q2,29,65.5,4.022,2.849
LINKUSDT,Q3,29,55.2,3.032,4.045
LINKUSDT,Q4,29,34.5,-1.475,-4.054
LINKUSDT,Q5_high,29,34.5,-1.573,-4.699
LTCUSDT,Q1_low,25,28.0,-2.452,-3.853
LTCUSDT,Q2,25,48.0,1.37,-3.582
LTCUSDT,Q3,24,41.7,1.381,-3.019
LTCUSDT,Q4,25,32.0,-1.513,-3.671
LTCUSDT,Q5_high,25,48.0,1.4,-2.147
DOTUSDT,Q1_low,19,36.8,0.05,-3.483
DOTUSDT,Q2,18,44.4,0.506,-2.598
DOTUSDT,Q3,19,42.1,0.237,-3.151
DOTUSDT,Q4,18,55.6,1.85,1.9
DOTUSDT,Q5_high,19,31.6,-1.118,-3.397
